------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Richmond City",51760,6.4,14163,"686 of 3140"
"Richmond County",51159,6.5,577,"672 of 3140"
"Accomack County",51001,7.0,2308,"607 of 3140"
"Norfolk City",51710,7.2,17633,"591 of 3140"
"Spotsylvania County",51177,7.2,9341,"590 of 3140"
"Colonial Heights City",51570,7.2,1272,"582 of 3140"
"Newport News City",51700,7.3,13117,"579 of 3140"
"Roanoke City",51770,7.6,7539,"548 of 3140"
"Culpeper County",51047,7.6,3801,"541 of 3140"
"York County",51199,7.9,5296,"519 of 3140"
"Chesterfield County",51041,7.9,26463,"517 of 3140"
"Montgomery County",51121,8.1,7880,"497 of 3140"
"Williamsburg City",51830,8.8,1301,"434 of 3140"
"Fredericksburg City",51630,9.0,2534,"417 of 3140"
"Virginia Beach City",51810,9.1,41132,"410 of 3140"
"Stafford County",51179,9.2,12976,"404 of 3140"
"Galax City",51640,9.4,639,"381 of 3140"
"Albemarle County",51003,10.2,10710,"343 of 3140"
"Winchester City",51840,11.8,3246,"263 of 3140"
"Henrico County",51087,12.2,39645,"247 of 3140"
"Charlottesville City",51540,12.5,5798,"239 of 3140"
"Harrisonburg City",51660,16.5,8778,"154 of 3140"
"Falls Church City",51610,18.1,2502,"135 of 3140"
"Arlington County",51013,22.9,52603,"73 of 3140"
"Prince William County",51153,23.4,105481,"69 of 3140"
"Loudoun County",51107,23.9,89449,"65 of 3140"
"Manassas City",51683,26.2,10821,"46 of 3140"
"Alexandria City",51510,28.4,43958,"37 of 3140"
"Fairfax City",51600,28.6,6752,"36 of 3140"
"Fairfax County",51059,30.9,353376,"25 of 3140"
"Manassas Park City",51685,35.6,5743,"10 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
