------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Irwin County",13155,28.2,2615,"2264 of 3141"
"Douglas County",13097,28.3,39727,"2302 of 3141"
"Taliaferro County",13265,28.4,523,"2307 of 3141"
"Floyd County",13115,28.4,27394,"2317 of 3141"
"Colquitt County",13071,28.4,13051,"2327 of 3141"
"Gordon County",13129,28.5,16089,"2345 of 3141"
"Hall County",13139,28.6,55208,"2374 of 3141"
"Bartow County",13015,28.6,29391,"2377 of 3141"
"Newton County",13217,28.7,30192,"2402 of 3141"
"Columbia County",13073,28.9,41518,"2420 of 3141"
"Effingham County",13103,28.9,16497,"2422 of 3141"
"Lee County",13177,28.9,8445,"2424 of 3141"
"Macon County",13193,28.9,3956,"2435 of 3141"
"Paulding County",13223,29.0,44187,"2444 of 3141"
"Whitfield County",13313,29.1,30220,"2455 of 3141"
"Dade County",13083,29.1,4736,"2456 of 3141"
"Bryan County",13029,29.2,10201,"2486 of 3141"
"Montgomery County",13209,29.3,2626,"2498 of 3141"
"Troup County",13285,29.3,20353,"2501 of 3141"
"Bibb County",13021,29.5,45435,"2534 of 3141"
"Pulaski County",13235,29.5,3364,"2535 of 3141"
"Barrow County",13013,29.6,22239,"2543 of 3141"
"Gwinnett County",13135,29.8,265218,"2575 of 3141"
"Tift County",13277,30.2,12239,"2638 of 3141"
"Coffee County",13069,30.4,13091,"2663 of 3141"
"Butts County",13035,30.6,7213,"2691 of 3141"
"Cobb County",13067,30.9,228473,"2722 of 3141"
"Telfair County",13271,31.0,5069,"2729 of 3141"
"Houston County",13153,31.0,46659,"2733 of 3141"
"Hancock County",13141,31.1,2695,"2743 of 3141"
"Dougherty County",13095,31.1,28467,"2747 of 3141"
"Bleckley County",13023,31.4,4014,"2772 of 3141"
"Sumter County",13261,31.5,9669,"2779 of 3141"
"Wilcox County",13315,31.5,2806,"2785 of 3141"
"Lamar County",13171,31.9,5823,"2808 of 3141"
"Lanier County",13173,32.0,3325,"2821 of 3141"
"Clayton County",13063,32.1,87991,"2825 of 3141"
"Carroll County",13045,32.4,37186,"2842 of 3141"
"DeKalb County",13089,33.1,243893,"2888 of 3141"
"Peach County",13225,33.2,8980,"2899 of 3141"
"Muscogee County",13215,33.5,66574,"2915 of 3141"
"Tattnall County",13267,33.9,8622,"2934 of 3141"
"Richmond County",13245,34.1,68766,"2939 of 3141"
"Lumpkin County",13187,34.3,10815,"2942 of 3141"
"Calhoun County",13037,34.3,2230,"2943 of 3141"
"Fulton County",13121,34.5,348785,"2955 of 3141"
"Chatham County",13051,34.5,98596,"2957 of 3141"
"Camden County",13039,34.6,18097,"2959 of 3141"
"Wheeler County",13309,34.8,2764,"2965 of 3141"
"Long County",13183,35.2,6284,"2979 of 3141"
"Baldwin County",13009,36.1,16424,"3004 of 3141"
"Lowndes County",13185,38.4,43780,"3051 of 3141"
"Liberty County",13179,38.8,24099,"3056 of 3141"
"Stewart County",13259,39.5,2304,"3070 of 3141"
"Bulloch County",13031,43.7,32205,"3105 of 3141"
"Clarke County",13059,50.0,61768,"3131 of 3141"
"Chattahoochee County",13053,59.8,6633,"3139 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
