------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Gilmer County",13123,18.6,4005,"1653 of 3141"
"Walton County",13297,19.0,11074,"1581 of 3141"
"Fannin County",13111,19.0,3547,"1571 of 3141"
"Clayton County",13063,19.1,32153,"1556 of 3141"
"Effingham County",13103,19.2,7080,"1527 of 3141"
"Bartow County",13015,19.4,13228,"1510 of 3141"
"Baldwin County",13009,19.4,5439,"1508 of 3141"
"Liberty County",13179,19.4,6901,"1497 of 3141"
"Carroll County",13045,19.6,14068,"1468 of 3141"
"Stephens County",13257,19.6,3374,"1466 of 3141"
"Jackson County",13157,19.7,8462,"1454 of 3141"
"Newton County",13217,19.9,13303,"1417 of 3141"
"White County",13311,20.2,4059,"1361 of 3141"
"Catoosa County",13047,20.3,9134,"1352 of 3141"
"Peach County",13225,20.3,3493,"1346 of 3141"
"Floyd County",13115,20.5,13047,"1315 of 3141"
"Dougherty County",13095,20.7,12055,"1274 of 3141"
"Jones County",13169,20.7,4038,"1267 of 3141"
"Richmond County",13245,21.0,27471,"1223 of 3141"
"Putnam County",13237,21.4,3358,"1183 of 3141"
"Union County",13291,22.0,3824,"1117 of 3141"
"Morgan County",13211,22.1,2733,"1106 of 3141"
"Thomas County",13275,22.2,6757,"1088 of 3141"
"Monroe County",13207,22.7,4294,"1017 of 3141"
"Hall County",13139,23.5,29307,"930 of 3141"
"Camden County",13039,23.6,7646,"919 of 3141"
"Paulding County",13223,24.4,23711,"844 of 3141"
"Pickens County",13227,24.9,5492,"811 of 3141"
"Lowndes County",13185,25.2,16780,"786 of 3141"
"Rabun County",13241,25.3,3113,"781 of 3141"
"Bibb County",13021,25.4,25264,"777 of 3141"
"Houston County",13153,25.4,24759,"775 of 3141"
"Towns County",13281,25.6,2082,"761 of 3141"
"Greene County",13133,25.6,3186,"760 of 3141"
"Lee County",13177,25.7,4908,"751 of 3141"
"Rockdale County",13247,25.8,14860,"745 of 3141"
"Muscogee County",13215,26.0,33207,"729 of 3141"
"Lumpkin County",13187,26.7,5274,"678 of 3141"
"Douglas County",13097,26.7,24036,"674 of 3141"
"Harris County",13145,27.4,6310,"625 of 3141"
"Bulloch County",13031,27.9,11289,"595 of 3141"
"Henry County",13151,28.0,38821,"589 of 3141"
"Glynn County",13127,29.0,16675,"540 of 3141"
"Coweta County",13077,29.0,26536,"535 of 3141"
"Dawson County",13085,31.1,5173,"419 of 3141"
"Bryan County",13029,32.4,7134,"355 of 3141"
"Chattahoochee County",13053,33.0,1633,"337 of 3141"
"Chatham County",13051,33.2,63058,"328 of 3141"
"Columbia County",13073,34.4,32517,"288 of 3141"
"Gwinnett County",13135,35.3,198820,"251 of 3141"
"Cherokee County",13057,35.7,55763,"245 of 3141"
"Clarke County",13059,41.3,28139,"137 of 3141"
"DeKalb County",13089,42.1,209542,"121 of 3141"
"Cobb County",13067,45.5,223352,"90 of 3141"
"Fayette County",13113,46.7,34680,"73 of 3141"
"Oconee County",13219,48.2,11325,"60 of 3141"
"Forsyth County",13117,50.2,68279,"46 of 3141"
"Fulton County",13121,50.2,338740,"45 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
