------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Atkinson County",13003,49.5,4112,"1425 of 3141"
"Gordon County",13129,49.5,27913,"1434 of 3141"
"Effingham County",13103,49.5,28260,"1463 of 3141"
"Pickens County",13227,49.6,15046,"1557 of 3141"
"Bartow County",13015,49.6,50888,"1560 of 3141"
"Randolph County",13243,49.6,3574,"1569 of 3141"
"Whitfield County",13313,49.6,51566,"1571 of 3141"
"Bryan County",13029,49.6,17313,"1603 of 3141"
"Forsyth County",13117,49.6,104886,"1610 of 3141"
"Bacon County",13005,49.6,5599,"1614 of 3141"
"Heard County",13149,49.6,5762,"1617 of 3141"
"Rabun County",13241,49.7,8126,"1657 of 3141"
"Colquitt County",13071,49.7,22806,"1669 of 3141"
"Emanuel County",13107,49.7,11183,"1671 of 3141"
"Lee County",13177,49.7,14524,"1687 of 3141"
"Hall County",13139,49.8,96103,"1789 of 3141"
"Lanier County",13173,50.1,5208,"2052 of 3141"
"Ware County",13299,50.2,17900,"2073 of 3141"
"Madison County",13195,50.2,14345,"2075 of 3141"
"Echols County",13101,50.2,2012,"2078 of 3141"
"Oglethorpe County",13221,50.2,7362,"2153 of 3141"
"Clinch County",13065,50.3,3411,"2160 of 3141"
"Harris County",13145,50.3,16686,"2169 of 3141"
"Treutlen County",13283,50.3,3394,"2173 of 3141"
"Baldwin County",13009,50.3,22893,"2184 of 3141"
"Monroe County",13207,50.3,13475,"2193 of 3141"
"Banks County",13011,50.3,9245,"2226 of 3141"
"Pierce County",13229,50.4,9640,"2244 of 3141"
"Washington County",13303,50.4,10343,"2296 of 3141"
"Gilmer County",13123,50.5,14950,"2317 of 3141"
"Webster County",13307,50.6,1329,"2362 of 3141"
"Liberty County",13179,50.7,31466,"2404 of 3141"
"Taliaferro County",13265,50.9,938,"2495 of 3141"
"Crawford County",13079,50.9,6303,"2505 of 3141"
"Wayne County",13305,51.0,15206,"2529 of 3141"
"Chattooga County",13055,51.2,12730,"2592 of 3141"
"Montgomery County",13209,51.2,4593,"2623 of 3141"
"Camden County",13039,51.3,26821,"2640 of 3141"
"Coffee County",13069,51.3,22105,"2649 of 3141"
"Irwin County",13155,51.4,4767,"2657 of 3141"
"Mitchell County",13205,52.0,11748,"2788 of 3141"
"Dodge County",13091,52.3,11024,"2835 of 3141"
"Butts County",13035,52.9,12464,"2889 of 3141"
"Dooly County",13093,54.3,7631,"3000 of 3141"
"Macon County",13193,55.3,7563,"3033 of 3141"
"Johnson County",13167,55.9,5476,"3052 of 3141"
"Charlton County",13049,57.0,7393,"3071 of 3141"
"Telfair County",13271,58.3,9532,"3086 of 3141"
"Tattnall County",13267,58.6,14892,"3092 of 3141"
"Wilcox County",13315,59.0,5248,"3095 of 3141"
"Calhoun County",13037,60.2,3915,"3106 of 3141"
"Hancock County",13141,60.7,5258,"3111 of 3141"
"Stewart County",13259,62.0,3618,"3120 of 3141"
"Wheeler County",13309,64.5,5132,"3130 of 3141"
"Chattahoochee County",13053,67.2,7455,"3138 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
