------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Walker County",13295,53001.000000000,"2210 of 3141"
"Baker County",13007,53258.000000000,"2194 of 3141"
"Troup County",13285,53500.000000000,"2180 of 3141"
"Lamar County",13171,53942.000000000,"2143 of 3141"
"Haralson County",13143,53944.000000000,"2142 of 3141"
"McIntosh County",13191,54286.000000000,"2116 of 3141"
"Charlton County",13049,54318.000000000,"2112 of 3141"
"Stephens County",13257,54483.000000000,"2103 of 3141"
"Habersham County",13137,54607.000000000,"2091 of 3141"
"Madison County",13195,54699.000000000,"2083 of 3141"
"Gilmer County",13123,55000.000000000,"2056 of 3141"
"Muscogee County",13215,55496.000000000,"2011 of 3141"
"Long County",13183,55664.000000000,"1991 of 3141"
"Union County",13291,55753.000000000,"1985 of 3141"
"Peach County",13225,56026.000000000,"1957 of 3141"
"Fannin County",13111,56314.000000000,"1931 of 3141"
"Lumpkin County",13187,56356.000000000,"1930 of 3141"
"Floyd County",13115,56497.000000000,"1919 of 3141"
"Putnam County",13237,57302.000000000,"1835 of 3141"
"Carroll County",13045,57896.000000000,"1778 of 3141"
"Glynn County",13127,58541.000000000,"1709 of 3141"
"Dade County",13083,58750.000000000,"1691 of 3141"
"Camden County",13039,59326.000000000,"1631 of 3141"
"Greene County",13133,59792.000000000,"1575 of 3141"
"Heard County",13149,60000.000000000,"1549 of 3141"
"Bartow County",13015,60259.000000000,"1519 of 3141"
"Glascock County",13125,60291.000000000,"1514 of 3141"
"Newton County",13217,60680.000000000,"1469 of 3141"
"Barrow County",13013,61750.000000000,"1366 of 3141"
"Rockdale County",13247,62643.000000000,"1283 of 3141"
"Hall County",13139,63700.000000000,"1179 of 3141"
"Morgan County",13211,64011.000000000,"1155 of 3141"
"Chatham County",13051,64025.000000000,"1151 of 3141"
"Houston County",13153,64370.000000000,"1129 of 3141"
"Walton County",13297,64940.000000000,"1078 of 3141"
"Catoosa County",13047,65053.000000000,"1066 of 3141"
"Jones County",13169,65437.000000000,"1032 of 3141"
"DeKalb County",13089,65702.000000000,"1012 of 3141"
"Monroe County",13207,66485.000000000,"958 of 3141"
"Pike County",13231,66916.000000000,"924 of 3141"
"Jackson County",13157,67251.000000000,"907 of 3141"
"Douglas County",13097,67280.000000000,"905 of 3141"
"Paulding County",13223,71204.000000000,"664 of 3141"
"Pickens County",13227,71311.000000000,"658 of 3141"
"Gwinnett County",13135,72804.000000000,"568 of 3141"
"Henry County",13151,72856.000000000,"563 of 3141"
"Effingham County",13103,73641.000000000,"513 of 3141"
"Dawson County",13085,73861.000000000,"504 of 3141"
"Lee County",13177,76521.000000000,"408 of 3141"
"Coweta County",13077,76692.000000000,"402 of 3141"
"Bryan County",13029,79198.000000000,"333 of 3141"
"Harris County",13145,82276.000000000,"265 of 3141"
"Columbia County",13073,83197.000000000,"251 of 3141"
"Fulton County",13121,83533.000000000,"246 of 3141"
"Cobb County",13067,86091.000000000,"212 of 3141"
"Cherokee County",13057,86552.000000000,"203 of 3141"
"Oconee County",13219,90870.000000000,"153 of 3141"
"Fayette County",13113,100318.000000000,"79 of 3141"
"Forsyth County",13117,108147.000000000,"39 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
