------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Chatham County",13051,8.7,12654,"2613 of 3141"
"Early County",13099,8.7,352,"2614 of 3141"
"Wilkinson County",13319,8.8,311,"2626 of 3141"
"Troup County",13285,8.9,2879,"2642 of 3141"
"Randolph County",13243,8.9,259,"2658 of 3141"
"Baldwin County",13009,9.0,1735,"2661 of 3141"
"Pike County",13231,9.0,734,"2662 of 3141"
"Dodge County",13091,9.0,761,"2669 of 3141"
"Newton County",13217,9.0,4592,"2671 of 3141"
"Wheeler County",13309,9.1,185,"2694 of 3141"
"Clinch County",13065,9.1,217,"2695 of 3141"
"Lowndes County",13185,9.2,4687,"2705 of 3141"
"McIntosh County",13191,9.2,580,"2712 of 3141"
"Bulloch County",13031,9.3,3343,"2728 of 3141"
"Thomas County",13275,9.3,1917,"2732 of 3141"
"Washington County",13303,9.3,786,"2739 of 3141"
"Monroe County",13207,9.4,1143,"2744 of 3141"
"Berrien County",13019,9.4,731,"2746 of 3141"
"Carroll County",13045,9.4,5147,"2758 of 3141"
"Chattooga County",13055,9.5,928,"2768 of 3141"
"Taliaferro County",13265,9.5,66,"2778 of 3141"
"Wayne County",13305,9.5,1098,"2781 of 3141"
"Heard County",13149,9.6,510,"2795 of 3141"
"Worth County",13321,9.7,873,"2800 of 3141"
"Muscogee County",13215,10.0,8742,"2843 of 3141"
"Marion County",13197,10.0,380,"2855 of 3141"
"Toombs County",13279,10.3,1213,"2890 of 3141"
"Clayton County",13063,10.3,14125,"2892 of 3141"
"Emanuel County",13107,10.3,957,"2899 of 3141"
"Bibb County",13021,10.4,7014,"2902 of 3141"
"Terrell County",13273,10.4,390,"2903 of 3141"
"Charlton County",13049,10.4,512,"2905 of 3141"
"Dooly County",13093,10.5,577,"2917 of 3141"
"Lanier County",13173,10.6,420,"2923 of 3141"
"Sumter County",13261,10.6,1370,"2924 of 3141"
"Upson County",13293,11.2,1251,"2959 of 3141"
"Johnson County",13167,11.4,531,"2979 of 3141"
"Lamar County",13171,11.4,898,"2980 of 3141"
"Richmond County",13245,11.6,10363,"2994 of 3141"
"Stephens County",13257,11.7,1339,"2998 of 3141"
"Stewart County",13259,11.8,183,"3003 of 3141"
"Liberty County",13179,11.9,3028,"3006 of 3141"
"Quitman County",13239,12.1,100,"3015 of 3141"
"Crawford County",13079,12.6,665,"3036 of 3141"
"Brooks County",13027,13.6,922,"3057 of 3141"
"Taylor County",13269,14.1,488,"3069 of 3141"
"Schley County",13249,14.2,335,"3070 of 3141"
"Crisp County",13081,14.8,1472,"3080 of 3141"
"Calhoun County",13037,14.9,283,"3083 of 3141"
"Chattahoochee County",13053,15.2,395,"3089 of 3141"
"Mitchell County",13205,15.2,1419,"3090 of 3141"
"Dougherty County",13095,15.8,6461,"3101 of 3141"
"Macon County",13193,16.8,913,"3112 of 3141"
"Long County",13183,17.2,1243,"3116 of 3141"
"Clay County",13061,20.3,221,"3128 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
