,fips,county,name,industry_code,industry_detail,relevant_naics,year,payann_total,ACID,ENRG,ETOX,EUTR,FOOD,GCC,HAPS,HAZW,HC,HNC,HRSP,HTOX,JOBS,LAND,METL,MINE,MSW,NREN,OZON,PEST,REN,SMOG,VADD,WATR
18,13001,1,"Appling County, Georgia",337122,"home furniture - wood, nonupholstered",[337122],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,13001,1,"Appling County, Georgia",339950,signs,[33995],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,13001,1,"Appling County, Georgia",441000,vehicles and parts sales,[441],2012,4109,0.004702355522782048,0.0,0.004870948162031317,0.0005912777490809323,10.14955654707862,19.46201271705695,0.008987303580936034,0.12075988296544264,2.046782372341064e-09,4.094350681086267e-09,0.0006311032544232982,6.146520176742026e-09,7648081.7,7.46876899677461,5.3680368378673554e-05,0.0,53.299585556575806,0.0,0.0,0.0,0.0,0.24730626754758356,2938.7838071626647,1.0975001215668359
21,13001,1,"Appling County, Georgia",445000,food and beverage stores,[445],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,13001,1,"Appling County, Georgia",452000,general merchandise stores,[452],2012,4731,0.0033586719961367856,0.0,0.003373906390754098,0.000422883089588653,19.18037595989859,24.57432073667647,0.001669934407671962,0.24716001118099354,1.2956660895287598e-09,2.74559667966108e-09,0.00045076745410545574,4.044118856950718e-09,0.0,7.65535488680424,2.6934082389511755e-08,0.0,100.72421240658666,0.0,0.0,0.0,0.0,0.14987295876440346,3155.236345579791,0.9777537413453076
23,13001,1,"Appling County, Georgia",484000,truck transport,[484],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,13001,1,"Appling County, Georgia",485000,passenger ground transport,[485],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,13001,1,"Appling County, Georgia",511110,newspapers,[51111],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,13001,1,"Appling County, Georgia",515100,radio and television,[5151],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,13001,1,"Appling County, Georgia",517110,telecommunications,[5171],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,13001,1,"Appling County, Georgia",522a00,nondepository credit intermediation and related activities,"[5222, 5223]",2012,1210,0.003204073383543375,0.00021729963868794501,0.003008078256865605,0.00040403652524351733,0.8521190092100399,12.190892216500961,0.0009466426598306125,0.02035732055316838,1.1787513426849597e-09,2.4053797315503425e-09,0.00040305510039859453,3.5866383342986258e-09,2399481.052562,0.4464673250682699,9.479692107713585e-08,0.0,8.852722351226214,0.0,4.11903974157846e-07,0.0,0.00021729963868794501,0.1361160136423735,702.4652212377799,0.61186310836948
29,13001,1,"Appling County, Georgia",524200,insurance agencies and brokerages,[5242],2012,654,0.00025024717811133367,0.276140840953656,0.00027807357736628514,5.2759842001542946e-05,0.37157688472026007,0.4095074083227967,3.470976209564931e-05,0.01022600859624445,7.942478555587929e-11,5.364169290252912e-10,3.180014029826535e-05,6.160113646029616e-10,1176952.31464134,0.35678932089320403,2.7556539184096304e-07,0.0,4.300241050380636,0.0,4.70295376628911e-09,3.180175884696226e-12,0.276140840953656,0.009066203196357203,335.510093911194,0.17187051533806022
