------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Floyd County",13115,51.5,49701,"2665 of 3141"
"Fulton County",13121,51.5,520623,"2671 of 3141"
"White County",13311,51.5,14695,"2685 of 3141"
"Fannin County",13111,51.6,12628,"2710 of 3141"
"Spalding County",13255,51.6,33117,"2712 of 3141"
"Glascock County",13125,51.6,1563,"2735 of 3141"
"Richmond County",13245,51.7,104133,"2750 of 3141"
"Cobb County",13067,51.7,381820,"2751 of 3141"
"Schley County",13249,51.7,2672,"2776 of 3141"
"Chatham County",13051,51.7,147725,"2792 of 3141"
"Decatur County",13087,51.8,13986,"2800 of 3141"
"Jefferson County",13163,51.8,8263,"2819 of 3141"
"Brooks County",13027,51.8,8098,"2829 of 3141"
"Cook County",13075,51.9,8915,"2851 of 3141"
"Lamar County",13171,51.9,9482,"2854 of 3141"
"Tift County",13277,51.9,21029,"2860 of 3141"
"Peach County",13225,51.9,14035,"2869 of 3141"
"Troup County",13285,52.0,36088,"2887 of 3141"
"Wilkes County",13317,52.1,5156,"2906 of 3141"
"Wilkinson County",13319,52.1,4762,"2909 of 3141"
"Meriwether County",13199,52.1,11018,"2916 of 3141"
"Henry County",13151,52.1,113331,"2920 of 3141"
"Upson County",13293,52.1,13673,"2921 of 3141"
"Jenkins County",13165,52.1,4656,"2937 of 3141"
"Quitman County",13239,52.1,1116,"2940 of 3141"
"Ben Hill County",13017,52.2,9013,"2947 of 3141"
"Elbert County",13105,52.2,10070,"2952 of 3141"
"Douglas County",13097,52.2,73226,"2961 of 3141"
"Baker County",13007,52.4,1704,"2992 of 3141"
"Clarke County",13059,52.4,64766,"2993 of 3141"
"Newton County",13217,52.5,55102,"3000 of 3141"
"Morgan County",13211,52.5,9455,"3002 of 3141"
"Laurens County",13175,52.5,24909,"3005 of 3141"
"Burke County",13033,52.5,11893,"3008 of 3141"
"Habersham County",13137,52.5,23054,"3010 of 3141"
"DeKalb County",13089,52.6,387117,"3019 of 3141"
"Evans County",13109,52.7,5664,"3025 of 3141"
"Sumter County",13261,52.8,16195,"3042 of 3141"
"Thomas County",13275,52.8,23709,"3044 of 3141"
"Rockdale County",13247,52.8,46727,"3046 of 3141"
"Clayton County",13063,52.8,144786,"3047 of 3141"
"Towns County",13281,52.8,5901,"3049 of 3141"
"Talbot County",13263,52.8,3393,"3050 of 3141"
"Glynn County",13127,52.8,44105,"3051 of 3141"
"Terrell County",13273,52.9,4749,"3055 of 3141"
"Crisp County",13081,53.0,12192,"3063 of 3141"
"Lincoln County",13181,53.0,4117,"3064 of 3141"
"Bibb County",13021,53.0,81611,"3065 of 3141"
"Warren County",13301,53.2,2876,"3079 of 3141"
"Seminole County",13253,53.2,4546,"3083 of 3141"
"Toombs County",13279,53.2,14454,"3086 of 3141"
"McDuffie County",13189,53.3,11460,"3091 of 3141"
"Stephens County",13257,53.4,13695,"3094 of 3141"
"Dougherty County",13095,53.7,49145,"3100 of 3141"
"Early County",13099,53.7,5588,"3101 of 3141"
"Bleckley County",13023,53.8,6870,"3106 of 3141"
"Pulaski County",13235,56.6,6454,"3140 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
