------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Georgia",13000,45.2,4610717,"45 of 52"
"United States",00000,47.3,151838062,"N/A"
"Chattahoochee County",13053,18.0,1992,"3141 of 3141"
"Liberty County",13179,32.5,20211,"3123 of 3141"
"Clarke County",13059,32.6,40331,"3121 of 3141"
"Bulloch County",13031,36.2,26718,"3089 of 3141"
"Long County",13183,36.3,6480,"3086 of 3141"
"Lowndes County",13185,37.6,42863,"3062 of 3141"
"Clayton County",13063,39.7,108765,"2999 of 3141"
"Camden County",13039,40.6,21218,"2951 of 3141"
"Bryan County",13029,41.5,14490,"2913 of 3141"
"Muscogee County",13215,41.6,82684,"2909 of 3141"
"Richmond County",13245,42.5,85566,"2869 of 3141"
"Lanier County",13173,42.5,4418,"2866 of 3141"
"Gwinnett County",13135,42.5,378556,"2865 of 3141"
"Fulton County",13121,42.7,431085,"2857 of 3141"
"Houston County",13153,43.1,64861,"2830 of 3141"
"DeKalb County",13089,43.3,318875,"2810 of 3141"
"Carroll County",13045,43.4,49852,"2803 of 3141"
"Barrow County",13013,43.4,32601,"2801 of 3141"
"Paulding County",13223,43.5,66235,"2796 of 3141"
"Chatham County",13051,43.5,124138,"2794 of 3141"
"Whitfield County",13313,44.1,45874,"2741 of 3141"
"Effingham County",13103,44.2,25215,"2738 of 3141"
"Atkinson County",13003,44.2,3672,"2737 of 3141"
"Dougherty County",13095,44.2,40456,"2732 of 3141"
"Lee County",13177,44.3,12943,"2729 of 3141"
"Newton County",13217,44.4,46602,"2721 of 3141"
"Baldwin County",13009,44.6,20315,"2700 of 3141"
"Cobb County",13067,44.7,330163,"2695 of 3141"
"Tift County",13277,44.9,18181,"2676 of 3141"
"Colquitt County",13071,44.9,20620,"2669 of 3141"
"Sumter County",13261,45.0,13806,"2668 of 3141"
"Coffee County",13069,45.0,19371,"2666 of 3141"
"Peach County",13225,45.0,12162,"2665 of 3141"
"Douglas County",13097,45.1,63139,"2655 of 3141"
"Hall County",13139,45.1,86946,"2651 of 3141"
"Tattnall County",13267,45.2,11485,"2636 of 3141"
"Columbia County",13073,45.2,64989,"2635 of 3141"
"Jeff Davis County",13161,45.3,6791,"2629 of 3141"
"Henry County",13151,45.4,98683,"2623 of 3141"
"Troup County",13285,45.5,31597,"2611 of 3141"
"Bibb County",13021,45.6,70131,"2604 of 3141"
"Toombs County",13279,45.6,12391,"2599 of 3141"
"Echols County",13101,45.7,1833,"2596 of 3141"
"Cook County",13075,46.1,7932,"2538 of 3141"
"Gordon County",13129,46.2,26056,"2532 of 3141"
"Stewart County",13259,46.2,2696,"2527 of 3141"
"Evans County",13109,46.4,4986,"2513 of 3141"
"Bartow County",13015,46.4,47616,"2509 of 3141"
"Rockdale County",13247,46.9,41464,"2455 of 3141"
"Emanuel County",13107,46.9,10554,"2447 of 3141"
"Bacon County",13005,47.0,5296,"2440 of 3141"
"Polk County",13233,47.0,19487,"2435 of 3141"
"Lamar County",13171,47.1,8614,"2424 of 3141"
"Forsyth County",13117,47.1,99577,"2423 of 3141"
"Burke County",13033,47.2,10692,"2417 of 3141"
"Lumpkin County",13187,47.2,14909,"2414 of 3141"
"Bleckley County",13023,47.4,6058,"2385 of 3141"
"Coweta County",13077,47.4,65451,"2381 of 3141"
"Clinch County",13065,47.5,3221,"2375 of 3141"
"Cherokee County",13057,47.5,112033,"2362 of 3141"
"Murray County",13213,47.5,18733,"2361 of 3141"
"Schley County",13249,47.5,2456,"2355 of 3141"
"Calhoun County",13037,47.6,3096,"2340 of 3141"
"Laurens County",13175,47.6,22607,"2335 of 3141"
"McDuffie County",13189,47.7,10251,"2323 of 3141"
"Wayne County",13305,47.7,14239,"2319 of 3141"
"Candler County",13043,48.0,5234,"2260 of 3141"
"Jackson County",13157,48.1,30683,"2258 of 3141"
"Jefferson County",13163,48.1,7669,"2256 of 3141"
"Floyd County",13115,48.1,46415,"2251 of 3141"
"Decatur County",13087,48.2,13012,"2244 of 3141"
"Butts County",13035,48.2,11365,"2227 of 3141"
"Wheeler County",13309,48.3,3841,"2220 of 3141"
"Mitchell County",13205,48.3,10905,"2219 of 3141"
"Ware County",13299,48.4,17272,"2204 of 3141"
"Ben Hill County",13017,48.5,8369,"2195 of 3141"
"Walton County",13297,48.5,42990,"2190 of 3141"
"Spalding County",13255,48.5,31124,"2187 of 3141"
"Crisp County",13081,48.6,11184,"2170 of 3141"
"Pierce County",13229,48.8,9345,"2131 of 3141"
"Appling County",13001,49.1,9067,"2087 of 3141"
"Montgomery County",13209,49.1,4400,"2084 of 3141"
"Wilcox County",13315,49.1,4368,"2082 of 3141"
"Catoosa County",13047,49.4,32536,"2030 of 3141"
"Habersham County",13137,49.4,21684,"2025 of 3141"
"Berrien County",13019,49.4,9398,"2024 of 3141"
"Thomas County",13275,49.6,22272,"1989 of 3141"
"Jones County",13169,49.7,14174,"1977 of 3141"
"Irwin County",13155,49.8,4616,"1959 of 3141"
"Grady County",13131,49.8,12484,"1944 of 3141"
"Oconee County",13219,50.1,18038,"1879 of 3141"
"Turner County",13287,50.2,4037,"1855 of 3141"
"Pike County",13231,50.4,9025,"1826 of 3141"
"Chattooga County",13055,50.5,12557,"1798 of 3141"
"Banks County",13011,50.5,9270,"1794 of 3141"
"Terrell County",13273,50.5,4535,"1789 of 3141"
"Washington County",13303,50.5,10360,"1787 of 3141"
"Early County",13099,50.6,5263,"1770 of 3141"
"Franklin County",13119,50.6,11301,"1763 of 3141"
"Brantley County",13025,50.6,9319,"1762 of 3141"
"Haralson County",13143,50.8,14600,"1706 of 3141"
"Jenkins County",13165,51.0,4555,"1665 of 3141"
"Treutlen County",13283,51.2,3455,"1632 of 3141"
"Glynn County",13127,51.3,42786,"1606 of 3141"
"Madison County",13195,51.3,14662,"1605 of 3141"
"Walker County",13295,51.4,35265,"1570 of 3141"
"Screven County",13251,51.4,7216,"1567 of 3141"
"Telfair County",13271,51.5,8414,"1547 of 3141"
"Upson County",13293,51.6,13529,"1530 of 3141"
"Macon County",13193,51.6,7057,"1523 of 3141"
"Dade County",13083,51.7,8422,"1492 of 3141"
"Webster County",13307,51.8,1360,"1485 of 3141"
"Dodge County",13091,51.9,10942,"1443 of 3141"
"Heard County",13149,52.2,6056,"1381 of 3141"
"Miller County",13201,52.2,3074,"1364 of 3141"
"Meriwether County",13199,52.3,11065,"1349 of 3141"
"Jasper County",13159,52.4,7201,"1310 of 3141"
"Stephens County",13257,52.6,13468,"1283 of 3141"
"Worth County",13321,52.6,10945,"1270 of 3141"
"Charlton County",13049,52.8,6841,"1231 of 3141"
"Randolph County",13243,53.1,3826,"1148 of 3141"
"Clay County",13061,53.2,1610,"1122 of 3141"
"Oglethorpe County",13221,53.3,7813,"1110 of 3141"
"Wilkinson County",13319,53.3,4878,"1104 of 3141"
"Johnson County",13167,53.4,5233,"1093 of 3141"
"Elbert County",13105,53.4,10308,"1081 of 3141"
"Pulaski County",13235,53.5,6092,"1075 of 3141"
"Harris County",13145,53.7,17823,"1017 of 3141"
"Taylor County",13269,53.7,4442,"1009 of 3141"
"Hart County",13147,53.8,13728,"1004 of 3141"
"Marion County",13197,53.8,4602,"999 of 3141"
"Monroe County",13207,53.9,14431,"989 of 3141"
"Baker County",13007,53.9,1751,"987 of 3141"
"Morgan County",13211,54.0,9733,"952 of 3141"
"Fayette County",13113,54.1,59703,"930 of 3141"
"Glascock County",13125,54.2,1642,"916 of 3141"
"Dawson County",13085,54.5,12751,"858 of 3141"
"Hancock County",13141,54.5,4727,"847 of 3141"
"Dooly County",13093,54.6,7674,"833 of 3141"
"Brooks County",13027,54.9,8581,"787 of 3141"
"Wilkes County",13317,55.1,5456,"757 of 3141"
"Warren County",13301,55.2,2989,"718 of 3141"
"White County",13311,55.3,15760,"713 of 3141"
"Seminole County",13253,55.4,4732,"702 of 3141"
"Crawford County",13079,55.5,6873,"686 of 3141"
"Taliaferro County",13265,55.6,1025,"665 of 3141"
"Putnam County",13237,56.0,12010,"607 of 3141"
"Twiggs County",13289,56.7,4718,"531 of 3141"
"Pickens County",13227,56.8,17237,"514 of 3141"
"Gilmer County",13123,57.4,16999,"425 of 3141"
"Lincoln County",13181,58.1,4510,"365 of 3141"
"Greene County",13133,58.4,9779,"329 of 3141"
"Rabun County",13241,61.0,9980,"182 of 3141"
"McIntosh County",13191,61.2,8602,"173 of 3141"
"Quitman County",13239,61.7,1320,"151 of 3141"
"Towns County",13281,61.9,6914,"141 of 3141"
"Fannin County",13111,62.6,15313,"116 of 3141"
"Talbot County",13263,63.1,4051,"103 of 3141"
"Union County",13291,66.2,14748,"37 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
