------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Fannin County",13111,43344.000000000,"2106 of 3141"
"Gordon County",13129,43452.000000000,"2096 of 3141"
"Liberty County",13179,43493.000000000,"2088 of 3141"
"Walker County",13295,43581.000000000,"2078 of 3141"
"Troup County",13285,43597.000000000,"2075 of 3141"
"Peach County",13225,43645.000000000,"2071 of 3141"
"Haralson County",13143,43663.000000000,"2070 of 3141"
"Baker County",13007,43867.000000000,"2054 of 3141"
"Whitfield County",13313,43871.000000000,"2053 of 3141"
"Oglethorpe County",13221,43938.000000000,"2046 of 3141"
"White County",13311,43944.000000000,"2045 of 3141"
"Clayton County",13063,44106.000000000,"2023 of 3141"
"Habersham County",13137,44474.000000000,"1995 of 3141"
"Heard County",13149,44897.000000000,"1933 of 3141"
"Greene County",13133,45069.000000000,"1915 of 3141"
"Glascock County",13125,45273.000000000,"1896 of 3141"
"Chattahoochee County",13053,46096.000000000,"1802 of 3141"
"Floyd County",13115,46096.000000000,"1802 of 3141"
"Gilmer County",13123,46211.000000000,"1787 of 3141"
"Carroll County",13045,46844.000000000,"1697 of 3141"
"Glynn County",13127,47546.000000000,"1617 of 3141"
"Madison County",13195,47653.000000000,"1605 of 3141"
"Putnam County",13237,48340.000000000,"1538 of 3141"
"Monroe County",13207,50666.000000000,"1280 of 3141"
"Chatham County",13051,52215.000000000,"1094 of 3141"
"Pike County",13231,52377.000000000,"1077 of 3141"
"Bartow County",13015,52393.000000000,"1072 of 3141"
"Newton County",13217,52784.000000000,"1033 of 3141"
"Long County",13183,53083.000000000,"1009 of 3141"
"Camden County",13039,53687.000000000,"960 of 3141"
"Rockdale County",13247,54175.000000000,"907 of 3141"
"Catoosa County",13047,54537.000000000,"878 of 3141"
"Jones County",13169,55110.000000000,"833 of 3141"
"Hall County",13139,55622.000000000,"797 of 3141"
"DeKalb County",13089,55876.000000000,"777 of 3141"
"Walton County",13297,55876.000000000,"777 of 3141"
"Houston County",13153,55965.000000000,"772 of 3141"
"Barrow County",13013,56119.000000000,"762 of 3141"
"Jackson County",13157,57999.000000000,"629 of 3141"
"Douglas County",13097,59333.000000000,"556 of 3141"
"Morgan County",13211,59572.000000000,"538 of 3141"
"Fulton County",13121,61336.000000000,"450 of 3141"
"Pickens County",13227,61542.000000000,"442 of 3141"
"Dawson County",13085,62284.000000000,"413 of 3141"
"Paulding County",13223,63669.000000000,"354 of 3141"
"Effingham County",13103,64279.000000000,"340 of 3141"
"Gwinnett County",13135,64496.000000000,"336 of 3141"
"Henry County",13151,64752.000000000,"329 of 3141"
"Lee County",13177,65018.000000000,"321 of 3141"
"Coweta County",13077,67570.000000000,"256 of 3141"
"Bryan County",13029,68589.000000000,"237 of 3141"
"Harris County",13145,69539.000000000,"225 of 3141"
"Cobb County",13067,72004.000000000,"193 of 3141"
