------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Hancock County",13141,34.0,2945,"1859 of 3141"
"Banks County",13011,34.0,6240,"1862 of 3141"
"Putnam County",13237,34.0,7284,"1867 of 3141"
"Dade County",13083,34.0,5537,"1873 of 3141"
"Murray County",13213,34.1,13458,"1929 of 3141"
"Elbert County",13105,34.2,6591,"1955 of 3141"
"Taliaferro County",13265,34.3,633,"2029 of 3141"
"Washington County",13303,34.3,7043,"2038 of 3141"
"Screven County",13251,34.4,4825,"2057 of 3141"
"Douglas County",13097,34.4,48192,"2065 of 3141"
"White County",13311,34.6,9861,"2167 of 3141"
"Coweta County",13077,34.6,47792,"2181 of 3141"
"Union County",13291,34.7,7717,"2190 of 3141"
"Henry County",13151,34.7,75581,"2232 of 3141"
"Warren County",13301,34.8,1882,"2264 of 3141"
"Echols County",13101,34.8,1396,"2274 of 3141"
"Wheeler County",13309,34.8,2768,"2277 of 3141"
"Pulaski County",13235,34.8,3968,"2279 of 3141"
"Baker County",13007,34.8,1132,"2280 of 3141"
"Gilmer County",13123,34.9,10330,"2311 of 3141"
"Rabun County",13241,34.9,5712,"2331 of 3141"
"Worth County",13321,34.9,7271,"2340 of 3141"
"Haralson County",13143,35.0,10063,"2381 of 3141"
"Cherokee County",13057,35.1,82912,"2422 of 3141"
"Madison County",13195,35.3,10082,"2455 of 3141"
"Telfair County",13271,35.4,5776,"2486 of 3141"
"Jenkins County",13165,35.4,3158,"2496 of 3141"
"Pike County",13231,35.4,6338,"2499 of 3141"
"Dawson County",13085,35.4,8285,"2514 of 3141"
"Taylor County",13269,35.5,2931,"2527 of 3141"
"Fannin County",13111,35.6,8707,"2570 of 3141"
"Oglethorpe County",13221,35.6,5213,"2573 of 3141"
"Wilkinson County",13319,35.6,3254,"2574 of 3141"
"Morgan County",13211,35.6,6416,"2586 of 3141"
"Brantley County",13025,35.6,6561,"2593 of 3141"
"Dodge County",13091,35.7,7517,"2602 of 3141"
"Marion County",13197,35.7,3058,"2621 of 3141"
"Brooks County",13027,36.0,5621,"2690 of 3141"
"Oconee County",13219,36.0,12947,"2701 of 3141"
"Forsyth County",13117,36.0,76154,"2720 of 3141"
"Jasper County",13159,36.1,4952,"2727 of 3141"
"Johnson County",13167,36.1,3537,"2735 of 3141"
"Twiggs County",13289,36.1,3008,"2744 of 3141"
"Pickens County",13227,36.2,10996,"2770 of 3141"
"Heard County",13149,36.3,4208,"2775 of 3141"
"Macon County",13193,36.3,4958,"2776 of 3141"
"Lincoln County",13181,36.3,2822,"2793 of 3141"
"Monroe County",13207,36.7,9846,"2873 of 3141"
"Harris County",13145,36.8,12209,"2877 of 3141"
"Dooly County",13093,37.1,5215,"2940 of 3141"
"Glascock County",13125,37.3,1128,"2961 of 3141"
"Fayette County",13113,37.6,41466,"3004 of 3141"
"McIntosh County",13191,37.7,5308,"3014 of 3141"
"Crawford County",13079,38.5,4770,"3064 of 3141"
"Charlton County",13049,38.5,4993,"3065 of 3141"
"Talbot County",13263,40.6,2608,"3107 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
