------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Talbot County",13263,20.8,992,"2670 of 3141"
"Upson County",13293,20.8,3756,"2677 of 3141"
"Dade County",13083,20.9,2327,"2682 of 3141"
"Haralson County",13143,21.0,4091,"2694 of 3141"
"Cook County",13075,21.3,2391,"2720 of 3141"
"Washington County",13303,21.3,2994,"2724 of 3141"
"Jenkins County",13165,21.3,1243,"2725 of 3141"
"Sumter County",13261,21.3,4101,"2733 of 3141"
"Elbert County",13105,21.4,2882,"2738 of 3141"
"Wilkes County",13317,21.4,1494,"2739 of 3141"
"Coffee County",13069,21.7,6039,"2761 of 3141"
"Hall County",13139,21.8,27193,"2773 of 3141"
"Worth County",13321,21.9,3094,"2781 of 3141"
"Habersham County",13137,22.0,6480,"2788 of 3141"
"Oglethorpe County",13221,22.1,2309,"2796 of 3141"
"Grady County",13131,22.3,3764,"2810 of 3141"
"Baker County",13007,22.4,516,"2815 of 3141"
"Glascock County",13125,22.4,463,"2817 of 3141"
"Franklin County",13119,22.7,3462,"2836 of 3141"
"Butts County",13035,22.7,3739,"2839 of 3141"
"Charlton County",13049,22.8,2044,"2846 of 3141"
"Meriwether County",13199,22.8,3358,"2849 of 3141"
"Marion County",13197,22.9,1396,"2854 of 3141"
"Jeff Davis County",13161,23.0,2232,"2860 of 3141"
"Banks County",13011,23.0,2905,"2864 of 3141"
"Gordon County",13129,23.1,8704,"2870 of 3141"
"Wheeler County",13309,23.1,1256,"2872 of 3141"
"Taylor County",13269,23.2,1331,"2874 of 3141"
"Polk County",13233,23.3,6349,"2879 of 3141"
"Mitchell County",13205,23.4,3580,"2884 of 3141"
"Turner County",13287,23.5,1306,"2894 of 3141"
"Treutlen County",13283,23.7,1127,"2903 of 3141"
