------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Worth County",13321,18.9,1097,"2836 of 3141"
"Quitman County",13239,18.9,108,"2837 of 3141"
"Berrien County",13019,18.9,970,"2841 of 3141"
"McDuffie County",13189,19.1,1100,"2845 of 3141"
"Lincoln County",13181,19.1,411,"2846 of 3141"
"Cook County",13075,19.2,845,"2855 of 3141"
"Appling County",13001,19.3,927,"2861 of 3141"
"Wilkinson County",13319,19.4,429,"2865 of 3141"
"Elbert County",13105,19.4,990,"2867 of 3141"
"Franklin County",13119,19.4,1130,"2868 of 3141"
"Ware County",13299,19.5,1850,"2870 of 3141"
"Richmond County",13245,19.5,8452,"2871 of 3141"
"Mitchell County",13205,19.5,1046,"2873 of 3141"
"Brooks County",13027,19.7,812,"2882 of 3141"
"Wilkes County",13317,19.9,489,"2891 of 3141"
"Clarke County",13059,19.9,4414,"2894 of 3141"
"Butts County",13035,20.2,1162,"2900 of 3141"
"Emanuel County",13107,20.2,1111,"2905 of 3141"
"Taliaferro County",13265,20.4,90,"2914 of 3141"
"Miller County",13201,20.4,331,"2916 of 3141"
"Evans County",13109,20.5,592,"2924 of 3141"
"Schley County",13249,20.6,302,"2926 of 3141"
"Twiggs County",13289,20.8,416,"2935 of 3141"
"Dooly County",13093,21.0,723,"2948 of 3141"
"Decatur County",13087,21.0,1424,"2951 of 3141"
"Laurens County",13175,21.2,2428,"2954 of 3141"
