------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Camden County",13039,73.7,38499,"2458 of 3141"
"Crawford County",13079,73.8,9144,"2454 of 3141"
"Lanier County",13173,73.9,7679,"2449 of 3141"
"Morgan County",13211,74.1,13351,"2444 of 3141"
"Lee County",13177,74.5,21774,"2433 of 3141"
"Wayne County",13305,74.7,22294,"2424 of 3141"
"Carroll County",13045,74.8,85990,"2419 of 3141"
"Columbia County",13073,75.0,107841,"2408 of 3141"
"Polk County",13233,75.4,31246,"2400 of 3141"
"Jasper County",13159,75.4,10357,"2398 of 3141"
"Appling County",13001,76.1,14062,"2379 of 3141"
"Paulding County",13223,76.3,116211,"2373 of 3141"
"Jeff Davis County",13161,76.7,11511,"2360 of 3141"
"Coweta County",13077,76.8,106038,"2358 of 3141"
"Hart County",13147,76.9,19636,"2352 of 3141"
"Bryan County",13029,77.6,27071,"2329 of 3141"
"Echols County",13101,78.2,3135,"2295 of 3141"
"Floyd County",13115,78.4,75642,"2285 of 3141"
"Oglethorpe County",13221,78.7,11532,"2273 of 3141"
"Walton County",13297,79.0,70069,"2256 of 3141"
"Harris County",13145,79.0,26242,"2253 of 3141"
"Barrow County",13013,79.8,59955,"2226 of 3141"
