------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Thomas County",13275,37.4,16815,"1909 of 3141"
"Washington County",13303,37.6,7709,"1871 of 3141"
"Johnson County",13167,37.7,3691,"1858 of 3141"
"Macon County",13193,37.8,5173,"1827 of 3141"
"Turner County",13287,38.0,3050,"1796 of 3141"
"Jasper County",13159,38.0,5212,"1795 of 3141"
"Heard County",13149,38.0,4414,"1783 of 3141"
"Early County",13099,38.1,3963,"1768 of 3141"
"Oglethorpe County",13221,38.2,5605,"1729 of 3141"
"Franklin County",13119,38.7,8637,"1647 of 3141"
"Walker County",13295,38.7,26561,"1638 of 3141"
"Glynn County",13127,38.8,32400,"1620 of 3141"
"Dade County",13083,38.9,6339,"1593 of 3141"
"Glascock County",13125,39.0,1180,"1583 of 3141"
"Upson County",13293,39.0,10247,"1568 of 3141"
"Worth County",13321,39.1,8131,"1564 of 3141"
"Terrell County",13273,39.1,3510,"1560 of 3141"
"Stephens County",13257,39.1,10026,"1551 of 3141"
"Pulaski County",13235,39.3,4478,"1513 of 3141"
"Screven County",13251,39.5,5545,"1455 of 3141"
"Fayette County",13113,39.9,43979,"1371 of 3141"
"Harris County",13145,40.0,13287,"1334 of 3141"
"Monroe County",13207,40.2,10774,"1291 of 3141"
"Wilkinson County",13319,40.5,3701,"1230 of 3141"
"Morgan County",13211,40.5,7303,"1204 of 3141"
"Treutlen County",13283,40.6,2740,"1195 of 3141"
"Crawford County",13079,40.6,5029,"1189 of 3141"
"Dooly County",13093,40.7,5718,"1171 of 3141"
"Elbert County",13105,40.7,7852,"1168 of 3141"
"Taylor County",13269,40.8,3371,"1152 of 3141"
"Dawson County",13085,40.9,9561,"1134 of 3141"
"Brooks County",13027,40.9,6400,"1115 of 3141"
"Meriwether County",13199,41.0,8668,"1110 of 3141"
"Miller County",13201,41.2,2427,"1048 of 3141"
"Marion County",13197,41.3,3532,"1043 of 3141"
"Taliaferro County",13265,41.5,766,"995 of 3141"
"Hart County",13147,42.1,10739,"916 of 3141"
"Baker County",13007,42.2,1372,"892 of 3141"
"White County",13311,43.1,12276,"752 of 3141"
"Pickens County",13227,43.1,13067,"751 of 3141"
"Hancock County",13141,43.1,3734,"750 of 3141"
"Seminole County",13253,43.2,3692,"735 of 3141"
"Webster County",13307,43.3,1138,"714 of 3141"
"Clay County",13061,43.6,1318,"670 of 3141"
"Warren County",13301,44.1,2385,"608 of 3141"
"Wilkes County",13317,44.2,4381,"598 of 3141"
"Randolph County",13243,45.0,3242,"521 of 3141"
"Putnam County",13237,45.0,9650,"515 of 3141"
"Gilmer County",13123,45.1,13342,"512 of 3141"
"Twiggs County",13289,46.1,3835,"407 of 3141"
"Lincoln County",13181,46.5,3609,"380 of 3141"
"Rabun County",13241,48.2,7884,"254 of 3141"
"McIntosh County",13191,48.8,6855,"230 of 3141"
"Greene County",13133,48.9,8186,"221 of 3141"
"Talbot County",13263,50.0,3209,"172 of 3141"
"Fannin County",13111,51.7,12651,"122 of 3141"
"Quitman County",13239,52.4,1121,"100 of 3141"
"Towns County",13281,53.5,5975,"72 of 3141"
"Union County",13291,54.8,12205,"49 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
