------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Pulaski County",13235,96.4,10990,"1683 of 3141"
"Thomas County",13275,96.5,43339,"1699 of 3141"
"Dodge County",13091,96.6,20341,"1722 of 3141"
"Harris County",13145,96.7,32100,"1756 of 3141"
"Crisp County",13081,96.8,22260,"1779 of 3141"
"Bibb County",13021,96.8,149059,"1815 of 3141"
"Stephens County",13257,96.8,24816,"1820 of 3141"
"Morgan County",13211,96.9,17448,"1825 of 3141"
"Burke County",13033,96.9,21946,"1838 of 3141"
"Butts County",13035,96.9,22831,"1847 of 3141"
"White County",13311,96.9,27634,"1850 of 3141"
"Union County",13291,96.9,21582,"1858 of 3141"
"Pickens County",13227,97.0,29420,"1865 of 3141"
"Seminole County",13253,97.0,8296,"1896 of 3141"
"McDuffie County",13189,97.1,20871,"1928 of 3141"
"Catoosa County",13047,97.1,63985,"1933 of 3141"
"Lee County",13177,97.3,28413,"1993 of 3141"
"Wilkinson County",13319,97.3,8899,"2018 of 3141"
"Terrell County",13273,97.3,8735,"2021 of 3141"
"Bleckley County",13023,97.3,12434,"2028 of 3141"
"Dougherty County",13095,97.4,89103,"2052 of 3141"
"Laurens County",13175,97.4,46234,"2081 of 3141"
"Monroe County",13207,97.6,26164,"2182 of 3141"
"Talbot County",13263,97.7,6273,"2197 of 3141"
"Johnson County",13167,97.7,9572,"2202 of 3141"
"Washington County",13303,97.7,20032,"2206 of 3141"
"Upson County",13293,97.7,25637,"2215 of 3141"
"Lamar County",13171,97.7,17867,"2234 of 3141"
"Baldwin County",13009,97.8,44528,"2272 of 3141"
"Dade County",13083,97.8,15927,"2281 of 3141"
"Fannin County",13111,97.8,23952,"2294 of 3141"
"Early County",13099,97.8,10181,"2299 of 3141"
"Treutlen County",13283,97.9,6609,"2316 of 3141"
"Brantley County",13025,97.9,18022,"2317 of 3141"
"Meriwether County",13199,97.9,20710,"2334 of 3141"
"Webster County",13307,97.9,2573,"2353 of 3141"
"Worth County",13321,98.0,20391,"2373 of 3141"
"Walker County",13295,98.0,67245,"2389 of 3141"
"Screven County",13251,98.2,13782,"2480 of 3141"
"Hancock County",13141,98.2,8511,"2493 of 3141"
"Marion County",13197,98.3,8414,"2568 of 3141"
"Randolph County",13243,98.3,7086,"2574 of 3141"
"Wheeler County",13309,98.4,7821,"2582 of 3141"
"Glascock County",13125,98.4,2980,"2644 of 3141"
"Lincoln County",13181,98.5,7649,"2659 of 3141"
"Pike County",13231,98.5,17646,"2662 of 3141"
"McIntosh County",13191,98.5,13848,"2666 of 3141"
"Jones County",13169,98.5,28122,"2709 of 3141"
"Haralson County",13143,98.5,28302,"2710 of 3141"
"Towns County",13281,98.5,11010,"2712 of 3141"
"Irwin County",13155,98.7,9162,"2837 of 3141"
"Taylor County",13269,99.0,8188,"2947 of 3141"
"Crawford County",13079,99.3,12298,"3024 of 3141"
"Heard County",13149,99.3,11529,"3030 of 3141"
"Warren County",13301,99.4,5379,"3048 of 3141"
"Quitman County",13239,99.4,2128,"3052 of 3141"
"Miller County",13201,99.6,5860,"3082 of 3141"
"Twiggs County",13289,99.6,8293,"3090 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
