------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Jeff Davis County",13161,6.6,638,"2364 of 3141"
"Washington County",13303,6.6,931,"2377 of 3141"
"Elbert County",13105,6.7,897,"2390 of 3141"
"Haralson County",13143,6.7,1300,"2397 of 3141"
"Montgomery County",13209,6.7,400,"2403 of 3141"
"Burke County",13033,6.8,996,"2426 of 3141"
"Brooks County",13027,6.8,752,"2429 of 3141"
"Meriwether County",13199,7.0,1033,"2469 of 3141"
"Lanier County",13173,7.0,480,"2474 of 3141"
"Dade County",13083,7.1,791,"2489 of 3141"
"Emanuel County",13107,7.2,1061,"2505 of 3141"
"Decatur County",13087,7.2,1280,"2507 of 3141"
"Worth County",13321,7.2,1018,"2516 of 3141"
"Coffee County",13069,7.3,2020,"2531 of 3141"
"Tattnall County",13267,7.4,1318,"2560 of 3141"
"Crisp County",13081,7.4,1124,"2563 of 3141"
"Treutlen County",13283,7.5,359,"2578 of 3141"
"Wilkes County",13317,7.5,526,"2581 of 3141"
"Gilmer County",13123,7.6,1640,"2595 of 3141"
"Jasper County",13159,7.6,718,"2597 of 3141"
"Sumter County",13261,7.6,1469,"2604 of 3141"
"Oglethorpe County",13221,7.7,804,"2612 of 3141"
"Banks County",13011,7.9,990,"2626 of 3141"
"Early County",13099,7.9,548,"2629 of 3141"
"Floyd County",13115,7.9,5039,"2639 of 3141"
"Toombs County",13279,8.0,1400,"2644 of 3141"
"Franklin County",13119,8.3,1260,"2679 of 3141"
"Grady County",13131,8.5,1432,"2706 of 3141"
"Hancock County",13141,8.5,572,"2716 of 3141"
"Twiggs County",13289,8.6,514,"2723 of 3141"
