------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Montgomery County",48339,23.0,122934,"321 of 3141"
"Kendall County",48259,23.0,9285,"320 of 3141"
"Stephens County",48429,23.2,2176,"319 of 3141"
"Lee County",48287,23.2,3916,"318 of 3141"
"Grimes County",48185,23.6,6468,"312 of 3141"
"Kimble County",48267,23.7,1049,"311 of 3141"
"Taylor County",48441,23.8,32219,"310 of 3141"
"Galveston County",48167,23.9,76806,"307 of 3141"
"Camp County",48063,23.9,3034,"305 of 3141"
"Bell County",48027,24.0,80846,"303 of 3141"
"Williamson County",48491,24.1,122387,"302 of 3141"
"Fort Bend County",48157,24.2,171949,"301 of 3141"
"Mason County",48319,24.3,1001,"298 of 3141"
"Brazos County",48041,25.1,53696,"288 of 3141"
"Ellis County",48139,25.5,41791,"286 of 3141"
"McLennan County",48309,25.6,63010,"285 of 3141"
"Milam County",48331,25.8,6306,"284 of 3141"
"Austin County",48015,25.9,7598,"281 of 3141"
"Kerr County",48265,26.1,13263,"276 of 3141"
"Navarro County",48349,26.2,12647,"275 of 3141"
"Hartley County",48205,26.2,1527,"274 of 3141"
"Wheeler County",48483,26.5,1485,"270 of 3141"
"King County",48269,26.6,77,"268 of 3141"
"Comal County",48091,26.8,34565,"265 of 3141"
"Aransas County",48007,27.0,6714,"261 of 3141"
"Jones County",48253,27.2,5424,"259 of 3141"
"Comanche County",48093,27.3,3677,"257 of 3141"
"Dickens County",48125,27.6,614,"252 of 3141"
"Haskell County",48207,27.6,1605,"251 of 3141"
"Gray County",48179,27.9,6412,"247 of 3141"
"Tarrant County",48439,28.2,559025,"243 of 3141"
"Wilbarger County",48487,28.6,3710,"241 of 3141"
"Colorado County",48089,28.9,6045,"239 of 3141"
"Waller County",48473,29.4,14230,"237 of 3141"
"Brazoria County",48039,29.7,102715,"232 of 3141"
"San Saba County",48411,29.7,1739,"231 of 3141"
"Fisher County",48151,29.8,1156,"229 of 3141"
"Lipscomb County",48295,29.9,1046,"227 of 3141"
"Collingsworth County",48087,31.3,946,"215 of 3141"
"McCulloch County",48307,31.6,2571,"213 of 3141"
"Briscoe County",48045,32.2,513,"209 of 3141"
"Jackson County",48239,32.3,4760,"208 of 3141"
"Cottle County",48101,32.7,490,"206 of 3141"
"Knox County",48275,33.4,1255,"199 of 3141"
"Runnels County",48399,33.8,3474,"196 of 3141"
"Travis County",48453,33.9,398398,"195 of 3141"
"Hall County",48191,34.2,1060,"192 of 3141"
"Lubbock County",48303,34.5,102770,"188 of 3141"
"DeWitt County",48123,34.5,7062,"187 of 3141"
"Hemphill County",48211,35.2,1461,"182 of 3141"
