------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Hopkins County",48223,17.0,4069,"2267 of 3141"
"Victoria County",48469,17.0,10071,"2270 of 3141"
"Eastland County",48133,17.0,2135,"2274 of 3141"
"Fayette County",48149,17.0,3063,"2275 of 3141"
"Childress County",48075,17.0,812,"2277 of 3141"
"Mills County",48333,17.1,572,"2281 of 3141"
"San Jacinto County",48407,17.1,3271,"2283 of 3141"
"Leon County",48289,17.2,2006,"2294 of 3141"
"Nacogdoches County",48347,17.2,6431,"2302 of 3141"
"Montague County",48337,17.3,2351,"2305 of 3141"
"Lee County",48287,17.3,1993,"2307 of 3141"
"Medina County",48325,17.3,5605,"2309 of 3141"
"Young County",48503,17.4,2128,"2320 of 3141"
"Knox County",48275,17.7,433,"2348 of 3141"
"Robertson County",48395,17.7,1997,"2352 of 3141"
"Austin County",48015,17.8,3541,"2361 of 3141"
"Nueces County",48355,17.8,41362,"2369 of 3141"
"Rains County",48379,17.9,1463,"2370 of 3141"
"Marion County",48315,17.9,1370,"2378 of 3141"
"Colorado County",48089,17.9,2550,"2379 of 3141"
"Throckmorton County",48447,18.0,201,"2386 of 3141"
"Coleman County",48083,18.1,1109,"2391 of 3141"
"Freestone County",48161,18.2,2498,"2404 of 3141"
"Milam County",48331,18.3,3044,"2411 of 3141"
"Comanche County",48093,18.4,1730,"2413 of 3141"
"Houston County",48225,18.4,3065,"2417 of 3141"
"Burleson County",48051,18.6,2288,"2440 of 3141"
"Lipscomb County",48295,18.6,422,"2444 of 3141"
"Hill County",48217,18.9,4508,"2466 of 3141"
"Angelina County",48005,18.9,10744,"2467 of 3141"
"Terrell County",48443,19.1,107,"2494 of 3141"
"Hartley County",48205,19.2,832,"2506 of 3141"
"DeWitt County",48123,19.2,2774,"2511 of 3141"
"Bastrop County",48021,19.3,10236,"2514 of 3141"
"Briscoe County",48045,19.4,220,"2527 of 3141"
"Harris County",48201,19.5,557598,"2539 of 3141"
"Calhoun County",48057,19.5,2819,"2548 of 3141"
"Nolan County",48353,19.6,1909,"2554 of 3141"
"Limestone County",48293,19.6,3146,"2559 of 3141"
"Gray County",48179,19.6,3002,"2562 of 3141"
"Jack County",48237,19.7,1204,"2567 of 3141"
"Dickens County",48125,19.7,317,"2568 of 3141"
"Anderson County",48001,19.8,8290,"2577 of 3141"
"King County",48269,19.8,41,"2579 of 3141"
"San Augustine County",48405,20.0,1226,"2597 of 3141"
"Howard County",48227,20.2,4989,"2618 of 3141"
"Refugio County",48391,20.2,996,"2619 of 3141"
"Real County",48385,20.2,489,"2622 of 3141"
"Loving County",48301,20.3,13,"2629 of 3141"
"Jeff Davis County",48243,20.4,360,"2637 of 3141"
"Rusk County",48401,20.4,7380,"2640 of 3141"
"Caldwell County",48055,20.7,5390,"2665 of 3141"
"Cherokee County",48073,20.8,6987,"2668 of 3141"
"Wilbarger County",48487,20.8,1821,"2669 of 3141"
"Menard County",48327,20.9,343,"2688 of 3141"
"Wheeler County",48483,21.0,786,"2689 of 3141"
"Grimes County",48185,21.0,3939,"2690 of 3141"
"McCulloch County",48307,21.1,1229,"2701 of 3141"
"Wharton County",48481,21.1,5662,"2705 of 3141"
"Ward County",48475,21.4,1542,"2737 of 3141"
"Runnels County",48399,21.5,1504,"2747 of 3141"
"Live Oak County",48297,21.5,1880,"2748 of 3141"
"Waller County",48473,21.7,5658,"2758 of 3141"
"Dallas County",48113,21.7,351604,"2759 of 3141"
"Madison County",48313,21.7,2102,"2768 of 3141"
"San Patricio County",48409,21.8,9240,"2772 of 3141"
"Upton County",48461,21.8,485,"2773 of 3141"
"Polk County",48373,21.9,7348,"2783 of 3141"
"Scurry County",48415,22.0,2455,"2787 of 3141"
"Kleberg County",48273,22.1,3852,"2799 of 3141"
"Martin County",48317,22.3,725,"2806 of 3141"
"Jones County",48253,22.4,3296,"2818 of 3141"
"Foard County",48155,22.5,234,"2822 of 3141"
"Matagorda County",48321,22.5,5396,"2824 of 3141"
"Hardeman County",48197,22.5,630,"2825 of 3141"
"Collingsworth County",48087,22.6,465,"2826 of 3141"
"Hockley County",48219,22.7,3250,"2837 of 3141"
"Stephens County",48429,22.8,1464,"2841 of 3141"
"Navarro County",48349,22.8,7157,"2843 of 3141"
"Kent County",48263,22.8,113,"2847 of 3141"
"Liberty County",48291,22.9,11968,"2856 of 3141"
"Swisher County",48437,22.9,1155,"2858 of 3141"
"Sutton County",48435,23.0,614,"2859 of 3141"
"Falls County",48145,23.0,2759,"2862 of 3141"
"Lynn County",48305,23.1,879,"2867 of 3141"
"El Paso County",48141,23.1,116517,"2869 of 3141"
"Potter County",48375,23.4,17923,"2888 of 3141"
"Hemphill County",48211,24.1,600,"2922 of 3141"
"Atascosa County",48013,24.2,7354,"2926 of 3141"
"Ochiltree County",48357,24.4,1511,"2935 of 3141"
"Karnes County",48255,24.4,2511,"2937 of 3141"
"Shelby County",48419,24.5,4012,"2939 of 3141"
"Hale County",48189,24.6,5155,"2941 of 3141"
"Mitchell County",48335,24.6,1465,"2942 of 3141"
"Crockett County",48105,24.6,605,"2943 of 3141"
"Cottle County",48101,24.6,261,"2944 of 3141"
"Hall County",48191,24.9,517,"2961 of 3141"
"Crosby County",48107,25.0,929,"2966 of 3141"
"Ector County",48135,25.0,23063,"2968 of 3141"
"Edwards County",48137,25.0,402,"2969 of 3141"
"Glasscock County",48173,25.1,235,"2971 of 3141"
"Andrews County",48003,25.4,2642,"2980 of 3141"
"Kinney County",48271,25.7,683,"2990 of 3141"
