"NAME","YEAR","NAICS2017","NAICS2017_LABEL","ESTAB","EMP","PAYANN","state",
"Commonwealth of the Northern Mariana Islands","2017","45322","Gift, novelty, and souvenir stores","27","384","9755","69",
"Commonwealth of the Northern Mariana Islands","2017","5321","Automotive equipment rental and leasing","25","123","2230","69",
"Commonwealth of the Northern Mariana Islands","2017","53211","Passenger car rental and leasing","25","123","2230","69",
"Commonwealth of the Northern Mariana Islands","2017","532111","Passenger car rental","25","123","2230","69",
"Commonwealth of the Northern Mariana Islands","2017","5322","Consumer goods rental","11","83","1037","69",
"Commonwealth of the Northern Mariana Islands","2017","6115","Technical and trade schools","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","61151","Technical and trade schools","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","6116","Other schools and instruction","46","151","4086","69",
"Commonwealth of the Northern Mariana Islands","2017","61161","Fine arts schools","4","10","73","69",
"Commonwealth of the Northern Mariana Islands","2017","611610","Fine arts schools","4","10","73","69",
"Commonwealth of the Northern Mariana Islands","2017","61162","Sports and recreation instruction","39","120","3694","69",
"Commonwealth of the Northern Mariana Islands","2017","611620","Sports and recreation instruction","39","120","3694","69",
"Commonwealth of the Northern Mariana Islands","2017","811","Repair and maintenance","61","270","3569","69",
"Commonwealth of the Northern Mariana Islands","2017","8111","Automotive repair and maintenance","35","165","1818","69"
