"GEO_ID","GEO_TTL","COUNTY","YEAR","NAICS2002_TTL","ESTAB","EMP","PAYANN","state","county",
"0500000US13191","McIntosh, GA","191","2007","Total","240","1718","39003","13","191",
"0500000US13187","Lumpkin, GA","187","2007","Total","542","5126","143978","13","187",
"0500000US13197","Marion, GA","197","2007","Total","97","1703","38748","13","197",
"0500000US13193","Macon, GA","193","2007","Total","201","2168","68670","13","193",
"0500000US13213","Murray, GA","213","2007","Total","452","9435","260201","13","213",
"0500000US13207","Monroe, GA","207","2007","Total","506","5167","153704","13","207",
"0500000US13209","Montgomery, GA","209","2007","Total","118","1318","35738","13","209",
"0500000US13201","Miller, GA","201","2007","Total","152","1310","31222","13","201",
"0500000US13211","Morgan, GA","211","2007","Total","520","5966","158056","13","211",
"0500000US13199","Meriwether, GA","199","2007","Total","338","3513","100184","13","199",
"0500000US13205","Mitchell, GA","205","2007","Total","420","6571","151541","13","205",
"0500000US13217","Newton, GA","217","2007","Total","1548","18736","624726","13","217",
"0500000US13215","Muscogee, GA","215","2007","Total","4512","80597","2608653","13","215",
"0500000US13219","Oconee, GA","219","2007","Total","954","8181","234450","13","219",
"0500000US13225","Peach, GA","225","2007","Total","502","7931","206556","13","225",
"0500000US13229","Pierce, GA","229","2007","Total","341","3397","87716","13","229",
"0500000US13227","Pickens, GA","227","2007","Total","734","6469","188215","13","227",
"0500000US13223","Paulding, GA","223","2007","Total","1753","15912","417895","13","223",
"0500000US13221","Oglethorpe, GA","221","2007","Total","206","1143","27822","13","221",
"0500000US13237","Putnam, GA","237","2007","Total","490","6310","186855","13","237",
"0500000US13231","Pike, GA","231","2007","Total","283","1710","47205","13","231",
"0500000US13235","Pulaski, GA","235","2007","Total","203","2362","61005","13","235",
"0500000US13243","Randolph, GA","243","2007","Total","155","1422","37560","13","243",
"0500000US13233","Polk, GA","233","2007","Total","636","9955","282810","13","233",
"0500000US13241","Rabun, GA","241","2007","Total","535","4449","125318","13","241",
"0500000US13239","Quitman, GA","239","2007","Total","38","293","6431","13","239",
"0500000US13245","Richmond, GA","245","2007","Total","4634","85020","2866242","13","245",
"0500000US13247","Rockdale, GA","247","2007","Total","2266","33584","1209812","13","247",
"0500000US13249","Schley, GA","249","2007","Total","70","1297","38656","13","249",
"0500000US13251","Screven, GA","251","2007","Total","247","2924","74978","13","251",
"0500000US13257","Stephens, GA","257","2007","Total","582","9205","257344","13","257",
