------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Matagorda County",48321,31.1,11421,"619 of 3141"
"Jeff Davis County",48243,31.1,696,"628 of 3141"
"Hutchinson County",48233,31.1,6757,"629 of 3141"
"Nolan County",48353,31.2,4670,"635 of 3141"
"Collingsworth County",48087,31.2,944,"646 of 3141"
"Jefferson County",48245,31.2,79460,"649 of 3141"
"Lynn County",48305,31.2,1806,"651 of 3141"
"Walker County",48471,31.3,22139,"661 of 3141"
"Refugio County",48391,31.3,2285,"682 of 3141"
"Calhoun County",48057,31.4,6852,"705 of 3141"
"Comanche County",48093,31.4,4239,"713 of 3141"
"Lavaca County",48285,31.4,6241,"715 of 3141"
"Wood County",48499,31.4,13618,"722 of 3141"
"Angelina County",48005,31.4,27574,"723 of 3141"
"Tarrant County",48439,31.5,624477,"733 of 3141"
"Falls County",48145,31.5,5443,"734 of 3141"
"Hall County",48191,31.5,977,"737 of 3141"
"Wheeler County",48483,31.5,1766,"751 of 3141"
"Bowie County",48037,31.5,29537,"752 of 3141"
"Morris County",48343,31.5,3953,"756 of 3141"
"Limestone County",48293,31.6,7414,"766 of 3141"
"Milam County",48331,31.6,7743,"783 of 3141"
"Culberson County",48109,31.6,714,"785 of 3141"
"Hamilton County",48193,31.6,2601,"787 of 3141"
"Fisher County",48151,31.7,1230,"820 of 3141"
"Hopkins County",48223,31.8,11410,"826 of 3141"
"Eastland County",48133,31.8,5807,"829 of 3141"
"Brown County",48049,31.8,12028,"844 of 3141"
"Edwards County",48137,31.8,672,"847 of 3141"
"Lamar County",48277,31.8,15728,"848 of 3141"
"Cottle County",48101,31.8,477,"851 of 3141"
"Red River County",48387,31.8,3934,"852 of 3141"
"Harrison County",48203,31.9,21233,"869 of 3141"
"Runnels County",48399,31.9,3273,"870 of 3141"
"Freestone County",48161,31.9,6275,"885 of 3141"
"Williamson County",48491,31.9,162372,"886 of 3141"
"Knox County",48275,32.0,1200,"902 of 3141"
"Rusk County",48401,32.0,16975,"911 of 3141"
"Hunt County",48231,32.1,28951,"923 of 3141"
"McCulloch County",48307,32.1,2611,"925 of 3141"
"Montague County",48337,32.1,6222,"929 of 3141"
"Crockett County",48105,32.1,1230,"930 of 3141"
"Bee County",48025,32.1,10499,"937 of 3141"
"Jackson County",48239,32.1,4738,"949 of 3141"
"Young County",48503,32.1,5835,"959 of 3141"
"Jasper County",48241,32.1,11389,"965 of 3141"
"Kaufman County",48257,32.1,36912,"968 of 3141"
"Haskell County",48207,32.1,1866,"969 of 3141"
"Caldwell County",48055,32.2,13035,"973 of 3141"
"Tyler County",48457,32.2,6902,"979 of 3141"
"Live Oak County",48297,32.2,3880,"998 of 3141"
"Brazoria County",48039,32.3,111736,"1030 of 3141"
"Palo Pinto County",48363,32.3,9084,"1038 of 3141"
"Hudspeth County",48229,32.3,1197,"1044 of 3141"
"Liberty County",48291,32.4,25852,"1059 of 3141"
"Sabine County",48403,32.4,3376,"1063 of 3141"
"Mason County",48319,32.4,1335,"1067 of 3141"
"Howard County",48227,32.4,11821,"1071 of 3141"
"Johnson County",48251,32.5,52010,"1104 of 3141"
"Navarro County",48349,32.5,15666,"1105 of 3141"
"Burnet County",48053,32.5,14626,"1111 of 3141"
"Ellis County",48139,32.5,53365,"1121 of 3141"
"King County",48269,32.5,94,"1122 of 3141"
"Cooke County",48097,32.6,12730,"1144 of 3141"
"Guadalupe County",48187,32.6,49261,"1173 of 3141"
"Franklin County",48159,32.7,3475,"1178 of 3141"
"Foard County",48155,32.7,462,"1183 of 3141"
"Hood County",48221,32.7,18117,"1194 of 3141"
"Gillespie County",48171,32.8,8496,"1214 of 3141"
"Hardeman County",48197,32.8,1307,"1215 of 3141"
"Rains County",48379,32.8,3684,"1216 of 3141"
"Hill County",48217,32.8,11500,"1221 of 3141"
"DeWitt County",48123,32.8,6712,"1232 of 3141"
"Orange County",48361,32.8,27542,"1248 of 3141"
"Washington County",48477,32.9,11390,"1264 of 3141"
"Grayson County",48181,33.0,41612,"1332 of 3141"
"Medina County",48325,33.0,16021,"1337 of 3141"
"Somervell County",48425,33.1,2859,"1362 of 3141"
"Henderson County",48213,33.1,26404,"1398 of 3141"
"Kimble County",48267,33.2,1470,"1415 of 3141"
"Denton County",48121,33.2,259159,"1417 of 3141"
"San Augustine County",48405,33.3,2794,"1453 of 3141"
"Llano County",48299,33.3,6715,"1454 of 3141"
"Bosque County",48035,33.3,5975,"1469 of 3141"
"Briscoe County",48045,33.4,531,"1513 of 3141"
"Burleson County",48051,33.4,5875,"1523 of 3141"
"Montgomery County",48339,33.4,178836,"1542 of 3141"
"San Jacinto County",48407,33.4,9168,"1543 of 3141"
"Fannin County",48147,33.5,11311,"1579 of 3141"
"Sutton County",48435,33.6,1307,"1622 of 3141"
"Brewster County",48043,33.6,3096,"1624 of 3141"
"Fayette County",48149,33.6,8391,"1647 of 3141"
"Trinity County",48455,33.6,4870,"1663 of 3141"
"Robertson County",48395,33.7,5633,"1692 of 3141"
"Menard County",48327,33.7,715,"1694 of 3141"
