------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Jackson County",48239,0.4,58,"2164 of 3141"
"Robertson County",48395,0.4,66,"2162 of 3141"
"Young County",48503,0.4,75,"2111 of 3141"
"Atascosa County",48013,0.4,204,"2087 of 3141"
"Roberts County",48393,0.4,4,"2012 of 3141"
"Freestone County",48161,0.5,89,"2004 of 3141"
"Wilson County",48493,0.5,215,"1995 of 3141"
"Parmer County",48369,0.5,45,"1994 of 3141"
"Rusk County",48401,0.5,243,"1991 of 3141"
"Donley County",48129,0.5,16,"1976 of 3141"
"Stephens County",48429,0.5,44,"1969 of 3141"
"Cass County",48067,0.5,142,"1962 of 3141"
"Pecos County",48371,0.5,75,"1950 of 3141"
"Hardeman County",48197,0.5,19,"1945 of 3141"
"Hall County",48191,0.5,15,"1920 of 3141"
"Maverick County",48323,0.5,285,"1890 of 3141"
"Gaines County",48165,0.5,99,"1886 of 3141"
"Bee County",48025,0.5,164,"1875 of 3141"
"Hill County",48217,0.5,176,"1874 of 3141"
"Hardin County",48199,0.5,289,"1845 of 3141"
"Webb County",48479,0.5,1432,"1807 of 3141"
"Milam County",48331,0.5,134,"1760 of 3141"
"Parker County",48367,0.6,702,"1747 of 3141"
"Garza County",48169,0.6,38,"1736 of 3141"
"Somervell County",48425,0.6,49,"1731 of 3141"
"Van Zandt County",48467,0.6,306,"1722 of 3141"
"Lamb County",48279,0.6,77,"1713 of 3141"
"Blanco County",48031,0.6,64,"1709 of 3141"
"Anderson County",48001,0.6,336,"1700 of 3141"
"Liberty County",48291,0.6,471,"1686 of 3141"
"Fisher County",48151,0.6,23,"1679 of 3141"
"Comanche County",48093,0.6,81,"1667 of 3141"
"Deaf Smith County",48117,0.6,116,"1641 of 3141"
"Cherokee County",48073,0.6,317,"1635 of 3141"
"Shelby County",48419,0.6,161,"1607 of 3141"
"Frio County",48163,0.6,120,"1605 of 3141"
"Jasper County",48241,0.6,226,"1581 of 3141"
"Live Oak County",48297,0.6,78,"1566 of 3141"
"Brown County",48049,0.7,250,"1541 of 3141"
"Medina County",48325,0.7,322,"1537 of 3141"
"Limestone County",48293,0.7,156,"1530 of 3141"
"Val Verde County",48465,0.7,331,"1513 of 3141"
"Panola County",48365,0.7,160,"1511 of 3141"
"Cameron County",48061,0.7,2897,"1491 of 3141"
"Wise County",48497,0.7,436,"1491 of 3141"
"Jim Wells County",48249,0.7,285,"1489 of 3141"
"Zapata County",48505,0.7,102,"1448 of 3141"
"Palo Pinto County",48363,0.7,201,"1435 of 3141"
"Burnet County",48053,0.7,328,"1408 of 3141"
"Fayette County",48149,0.7,182,"1405 of 3141"
"Henderson County",48213,0.7,581,"1405 of 3141"
"Ellis County",48139,0.7,1205,"1390 of 3141"
"Delta County",48119,0.7,38,"1389 of 3141"
"Haskell County",48207,0.7,43,"1376 of 3141"
"Fannin County",48147,0.7,251,"1372 of 3141"
"Harrison County",48203,0.7,495,"1371 of 3141"
"Polk County",48373,0.7,350,"1369 of 3141"
"Carson County",48065,0.7,45,"1367 of 3141"
"Hopkins County",48223,0.8,281,"1323 of 3141"
"Gray County",48179,0.8,183,"1297 of 3141"
"Kendall County",48259,0.8,322,"1294 of 3141"
"Lipscomb County",48295,0.8,28,"1291 of 3141"
"Erath County",48143,0.8,329,"1290 of 3141"
"Coleman County",48083,0.8,70,"1262 of 3141"
"Hood County",48221,0.9,477,"1225 of 3141"
"Howard County",48227,0.9,315,"1220 of 3141"
"Dallam County",48111,0.9,63,"1212 of 3141"
"Dawson County",48115,0.9,115,"1208 of 3141"
"Titus County",48449,0.9,287,"1204 of 3141"
"Bastrop County",48021,0.9,711,"1193 of 3141"
"Waller County",48473,0.9,429,"1191 of 3141"
"Wilbarger County",48487,0.9,119,"1160 of 3141"
"Hutchinson County",48233,0.9,200,"1154 of 3141"
"Leon County",48289,0.9,157,"1149 of 3141"
"Lee County",48287,1.0,161,"1119 of 3141"
"Concho County",48095,1.0,38,"1093 of 3141"
"Briscoe County",48045,1.0,16,"1069 of 3141"
"Hidalgo County",48215,1.0,8482,"1065 of 3141"
"Cooke County",48097,1.0,397,"1055 of 3141"
"Bowie County",48037,1.0,961,"1045 of 3141"
"Sutton County",48435,1.0,40,"1044 of 3141"
"Kerr County",48265,1.0,530,"1027 of 3141"
"San Patricio County",48409,1.1,704,"1018 of 3141"
"Runnels County",48399,1.1,109,"1008 of 3141"
"Caldwell County",48055,1.1,435,"1003 of 3141"
"Angelina County",48005,1.1,942,"1000 of 3141"
"Comal County",48091,1.1,1410,"982 of 3141"
"Ector County",48135,1.1,1707,"980 of 3141"
"Bailey County",48017,1.1,79,"966 of 3141"
"Uvalde County",48463,1.1,303,"960 of 3141"
"Reeves County",48389,1.1,168,"952 of 3141"
"Kaufman County",48257,1.1,1320,"939 of 3141"
"Johnson County",48251,1.2,1846,"936 of 3141"
"Victoria County",48469,1.2,1056,"933 of 3141"
"Orange County",48361,1.2,980,"923 of 3141"
"Hudspeth County",48229,1.2,44,"906 of 3141"
"Castro County",48069,1.2,95,"892 of 3141"
"Lamar County",48277,1.2,616,"852 of 3141"
"Walker County",48471,1.2,885,"850 of 3141"
"Tom Green County",48451,1.3,1466,"847 of 3141"
"El Paso County",48141,1.3,10563,"842 of 3141"
"Hunt County",48231,1.3,1144,"841 of 3141"
"Chambers County",48071,1.3,506,"829 of 3141"
"Madison County",48313,1.3,181,"823 of 3141"
"Grayson County",48181,1.4,1752,"779 of 3141"
"Hartley County",48205,1.4,81,"774 of 3141"
"Gregg County",48183,1.4,1759,"755 of 3141"
"Jeff Davis County",48243,1.5,33,"727 of 3141"
"Hays County",48209,1.5,2892,"724 of 3141"
"Brewster County",48043,1.6,145,"675 of 3141"
"Randall County",48381,1.6,2073,"670 of 3141"
"McLennan County",48309,1.6,3911,"665 of 3141"
"Navarro County",48349,1.7,800,"645 of 3141"
"Smith County",48423,1.7,3747,"630 of 3141"
"Nacogdoches County",48347,1.8,1174,"598 of 3141"
"Guadalupe County",48187,1.9,2840,"577 of 3141"
"Washington County",48477,1.9,668,"562 of 3141"
"Midland County",48329,2.0,3176,"541 of 3141"
"Kleberg County",48273,2.0,632,"537 of 3141"
"Aransas County",48007,2.0,500,"530 of 3141"
"Taylor County",48441,2.0,2737,"528 of 3141"
"Nueces County",48355,2.0,7264,"526 of 3141"
"Matagorda County",48321,2.1,773,"508 of 3141"
"Wichita County",48485,2.2,2868,"489 of 3141"
"Lubbock County",48303,2.2,6573,"481 of 3141"
"Lampasas County",48281,2.4,487,"451 of 3141"
"Rockwall County",48397,2.4,2195,"442 of 3141"
"Mason County",48319,2.5,103,"427 of 3141"
"Coryell County",48099,2.7,2083,"372 of 3141"
"Bexar County",48029,2.8,53660,"360 of 3141"
"Montgomery County",48339,2.9,15413,"351 of 3141"
"Galveston County",48167,3.4,11024,"276 of 3141"
"Bell County",48027,3.6,12245,"261 of 3141"
"Jefferson County",48245,3.7,9376,"255 of 3141"
"Presidio County",48377,5.0,358,"165 of 3141"
"Calhoun County",48057,5.1,1117,"160 of 3141"
"Tarrant County",48439,5.3,105032,"148 of 3141"
"Potter County",48375,5.3,6478,"145 of 3141"
"Childress County",48075,5.7,402,"132 of 3141"
"Dallas County",48113,6.1,154608,"116 of 3141"
"Brazos County",48041,6.1,13010,"115 of 3141"
"Williamson County",48491,6.1,31154,"110 of 3141"
"Brazoria County",48039,6.3,21637,"106 of 3141"
"Travis County",48453,6.5,76031,"100 of 3141"
"Harris County",48201,6.9,312491,"88 of 3141"
"Moore County",48341,7.9,1735,"70 of 3141"
"Denton County",48121,7.9,61883,"69 of 3141"
"Collin County",48085,13.6,124667,"34 of 3141"
"Fort Bend County",48157,19.4,137769,"16 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
