------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Martin County",48317,82.9,4600,"2076 of 3141"
"Howard County",48227,83.5,30456,"2042 of 3141"
"Culberson County",48109,83.5,1885,"2039 of 3141"
"Hopkins County",48223,84.0,30172,"2023 of 3141"
"Tyler County",48457,84.1,18054,"2016 of 3141"
"Ward County",48475,84.2,9681,"2010 of 3141"
"Foard County",48155,84.2,1191,"2009 of 3141"
"Milam County",48331,84.3,20629,"2004 of 3141"
"Polk County",48373,84.3,39589,"2002 of 3141"
"Upshur County",48459,84.8,34337,"1984 of 3141"
"Garza County",48169,84.8,5716,"1982 of 3141"
"Tom Green County",48451,85.0,99364,"1974 of 3141"
"Gray County",48179,85.0,19520,"1973 of 3141"
"McCulloch County",48307,85.6,6969,"1945 of 3141"
"Parmer County",48369,85.6,8448,"1944 of 3141"
"Hale County",48189,85.7,29583,"1939 of 3141"
"Bailey County",48017,85.7,6086,"1934 of 3141"
"Rockwall County",48397,85.9,77700,"1921 of 3141"
"Duval County",48131,86.1,9841,"1911 of 3141"
"Delta County",48119,86.2,4459,"1897 of 3141"
"San Jacinto County",48407,86.4,23701,"1886 of 3141"
"Montgomery County",48339,86.4,462530,"1885 of 3141"
"Trinity County",48455,86.4,12516,"1883 of 3141"
"Mason County",48319,86.5,3564,"1881 of 3141"
"Knox County",48275,86.5,3247,"1875 of 3141"
"Calhoun County",48057,86.6,18887,"1869 of 3141"
"Jackson County",48239,86.6,12781,"1864 of 3141"
"Hardeman County",48197,86.6,3457,"1861 of 3141"
"Motley County",48345,86.9,968,"1847 of 3141"
"Grayson County",48181,87.0,109796,"1837 of 3141"
"Deaf Smith County",48117,87.3,16544,"1822 of 3141"
"Bee County",48025,87.4,28594,"1820 of 3141"
"Chambers County",48071,87.4,34329,"1817 of 3141"
"Victoria County",48469,87.4,80025,"1810 of 3141"
"Hays County",48209,87.5,170450,"1804 of 3141"
"Kleberg County",48273,87.5,27601,"1801 of 3141"
