------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Swisher County",48437,84.9,6361,"2238 of 3140"
"Leon County",48289,84.9,14131,"2234 of 3140"
"Anderson County",48001,84.9,48643,"2233 of 3140"
"Smith County",48423,85.0,186464,"2215 of 3140"
"Gaines County",48165,85.0,16538,"2214 of 3140"
"Jefferson County",48245,85.0,213707,"2212 of 3140"
"Hill County",48217,85.1,29523,"2198 of 3140"
"Kaufman County",48257,85.2,96408,"2180 of 3140"
"Lamar County",48277,85.2,41594,"2176 of 3140"
"Val Verde County",48465,85.2,40975,"2161 of 3140"
"Navarro County",48349,85.3,40370,"2135 of 3140"
"Sutton County",48435,85.4,3298,"2131 of 3140"
"Collin County",48085,85.4,771311,"2111 of 3140"
"Comal County",48091,85.4,109275,"2105 of 3140"
"Hemphill County",48211,85.5,3497,"2093 of 3140"
"Wood County",48499,85.5,36700,"2082 of 3140"
"El Paso County",48141,85.6,703520,"2059 of 3140"
"Parker County",48367,85.7,106604,"2047 of 3140"
"Hartley County",48205,85.7,4926,"2041 of 3140"
"Bastrop County",48021,85.8,67899,"2025 of 3140"
"Parmer County",48369,85.8,8320,"2008 of 3140"
"Irion County",48235,85.8,1363,"2002 of 3140"
"Bosque County",48035,85.9,15324,"1997 of 3140"
