------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Burnet County",48053,1.1,472,"714 of 3140"
"Wise County",48497,1.1,664,"717 of 3140"
"Dickens County",48125,1.1,24,"740 of 3140"
"Harrison County",48203,1.1,720,"754 of 3140"
"Live Oak County",48297,1.1,130,"757 of 3140"
"Hood County",48221,1.1,602,"764 of 3140"
"Liberty County",48291,1.1,897,"812 of 3140"
"Victoria County",48469,1.1,1031,"814 of 3140"
"Nacogdoches County",48347,1.2,746,"830 of 3140"
"Gray County",48179,1.2,264,"846 of 3140"
"Maverick County",48323,1.2,657,"851 of 3140"
"Austin County",48015,1.2,342,"859 of 3140"
"Gillespie County",48171,1.2,303,"863 of 3140"
"Kerr County",48265,1.2,597,"881 of 3140"
"Van Zandt County",48467,1.2,636,"897 of 3140"
"Eastland County",48133,1.2,217,"899 of 3140"
"Cherokee County",48073,1.2,614,"901 of 3140"
"Kaufman County",48257,1.2,1396,"936 of 3140"
"Erath County",48143,1.3,518,"986 of 3140"
"Childress County",48075,1.3,89,"992 of 3140"
"Walker County",48471,1.3,907,"1001 of 3140"
"San Jacinto County",48407,1.3,352,"1008 of 3140"
"Montague County",48337,1.3,249,"1012 of 3140"
"Lamar County",48277,1.3,642,"1031 of 3140"
"Hopkins County",48223,1.3,471,"1040 of 3140"
"Trinity County",48455,1.3,191,"1044 of 3140"
"Bailey County",48017,1.3,95,"1066 of 3140"
"Lipscomb County",48295,1.4,47,"1111 of 3140"
"Tyler County",48457,1.4,297,"1128 of 3140"
"Calhoun County",48057,1.4,304,"1151 of 3140"
"Hunt County",48231,1.4,1289,"1193 of 3140"
"Callahan County",48059,1.5,198,"1207 of 3140"
"Llano County",48299,1.5,293,"1210 of 3140"
"Caldwell County",48055,1.5,591,"1226 of 3140"
"Titus County",48449,1.5,480,"1238 of 3140"
"Aransas County",48007,1.5,366,"1247 of 3140"
"Bandera County",48019,1.5,319,"1263 of 3140"
"Bastrop County",48021,1.5,1216,"1298 of 3140"
"Gregg County",48183,1.5,1869,"1300 of 3140"
"Camp County",48063,1.6,193,"1320 of 3140"
"Henderson County",48213,1.6,1220,"1321 of 3140"
"Hutchinson County",48233,1.6,333,"1325 of 3140"
"Marion County",48315,1.6,160,"1364 of 3140"
"Hudspeth County",48229,1.6,58,"1375 of 3140"
"Orange County",48361,1.6,1363,"1425 of 3140"
"Terry County",48445,1.7,209,"1436 of 3140"
"Jefferson County",48245,1.7,4185,"1451 of 3140"
"Upshur County",48459,1.7,674,"1474 of 3140"
"Palo Pinto County",48363,1.7,471,"1476 of 3140"
"Franklin County",48159,1.7,178,"1482 of 3140"
"Irion County",48235,1.7,27,"1486 of 3140"
"Brazoria County",48039,1.7,5840,"1503 of 3140"
"Parmer County",48369,1.7,167,"1517 of 3140"
"Hill County",48217,1.7,601,"1530 of 3140"
"Knox County",48275,1.7,65,"1551 of 3140"
"Comal County",48091,1.8,2245,"1555 of 3140"
"Ector County",48135,1.8,2692,"1562 of 3140"
"Deaf Smith County",48117,1.8,330,"1579 of 3140"
"San Patricio County",48409,1.8,1173,"1582 of 3140"
"Potter County",48375,1.8,2124,"1585 of 3140"
"Smith County",48423,1.8,3960,"1604 of 3140"
"Harris County",48201,1.8,80572,"1607 of 3140"
"Cochran County",48079,1.8,52,"1608 of 3140"
"Galveston County",48167,1.8,5754,"1611 of 3140"
"Shelby County",48419,1.8,462,"1623 of 3140"
"Ward County",48475,1.8,208,"1631 of 3140"
"Atascosa County",48013,1.8,871,"1632 of 3140"
"Fannin County",48147,1.8,617,"1636 of 3140"
"Fort Bend County",48157,1.8,12977,"1643 of 3140"
"Dallas County",48113,1.8,46474,"1650 of 3140"
"Ochiltree County",48357,1.9,191,"1657 of 3140"
"Nolan County",48353,1.9,276,"1660 of 3140"
"McLennan County",48309,1.9,4534,"1668 of 3140"
"Brewster County",48043,1.9,174,"1687 of 3140"
"Goliad County",48175,1.9,141,"1695 of 3140"
"Cooke County",48097,1.9,739,"1701 of 3140"
"Parker County",48367,1.9,2384,"1706 of 3140"
"Angelina County",48005,1.9,1667,"1711 of 3140"
"Wood County",48499,2.0,847,"1763 of 3140"
"Hansford County",48195,2.0,111,"1803 of 3140"
"Gaines County",48165,2.0,395,"1812 of 3140"
"Throckmorton County",48447,2.0,31,"1817 of 3140"
"Hays County",48209,2.1,3953,"1830 of 3140"
"Lubbock County",48303,2.1,6056,"1842 of 3140"
"Lampasas County",48281,2.1,423,"1854 of 3140"
"Kleberg County",48273,2.1,648,"1855 of 3140"
"Nueces County",48355,2.1,7353,"1858 of 3140"
"San Saba County",48411,2.1,121,"1873 of 3140"
"Grayson County",48181,2.1,2608,"1875 of 3140"
"Rockwall County",48397,2.1,1874,"1880 of 3140"
"Howard County",48227,2.1,769,"1901 of 3140"
"Brazos County",48041,2.1,4516,"1902 of 3140"
"Randall County",48381,2.1,2763,"1906 of 3140"
"Wilbarger County",48487,2.2,277,"1914 of 3140"
"Bexar County",48029,2.2,41055,"1963 of 3140"
"Mason County",48319,2.2,91,"1975 of 3140"
"Tarrant County",48439,2.2,43469,"1976 of 3140"
"Dawson County",48115,2.3,294,"1995 of 3140"
"Kimble County",48267,2.3,99,"2003 of 3140"
"Presidio County",48377,2.3,161,"2012 of 3140"
"Sabine County",48403,2.3,236,"2022 of 3140"
"Motley County",48345,2.3,25,"2023 of 3140"
"Reagan County",48383,2.3,86,"2054 of 3140"
"Chambers County",48071,2.4,915,"2068 of 3140"
"Hall County",48191,2.4,74,"2097 of 3140"
"Sutton County",48435,2.4,93,"2104 of 3140"
"Montgomery County",48339,2.4,12773,"2109 of 3140"
"La Salle County",48283,2.4,178,"2119 of 3140"
"Val Verde County",48465,2.4,1176,"2120 of 3140"
"Mitchell County",48335,2.6,229,"2237 of 3140"
"El Paso County",48141,2.7,21820,"2255 of 3140"
"Guadalupe County",48187,2.7,4009,"2270 of 3140"
"Oldham County",48359,2.7,56,"2281 of 3140"
"Taylor County",48441,2.7,3634,"2297 of 3140"
"Collin County",48085,2.7,24792,"2312 of 3140"
"Blanco County",48031,2.8,308,"2348 of 3140"
"Midland County",48329,2.8,4419,"2349 of 3140"
"Carson County",48065,2.9,171,"2375 of 3140"
"Denton County",48121,2.9,22125,"2378 of 3140"
"Reeves County",48389,2.9,423,"2387 of 3140"
"Wheeler County",48483,2.9,161,"2399 of 3140"
