------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Coryell County",48099,3.2,707,"2661 of 3140"
"Goliad County",48175,3.2,87,"2663 of 3140"
"Liberty County",48291,3.2,823,"2666 of 3140"
"Angelina County",48005,3.2,988,"2671 of 3140"
"Galveston County",48167,3.2,3790,"2674 of 3140"
"Bee County",48025,3.2,276,"2676 of 3140"
"Kaufman County",48257,3.3,1207,"2692 of 3140"
"Smith County",48423,3.3,2591,"2695 of 3140"
"Real County",48385,3.4,38,"2702 of 3140"
"Wise County",48497,3.4,735,"2704 of 3140"
"Gregg County",48183,3.4,1560,"2706 of 3140"
"Robertson County",48395,3.4,216,"2708 of 3140"
"Anderson County",48001,3.5,577,"2715 of 3140"
"Martin County",48317,3.5,57,"2717 of 3140"
"Austin County",48015,3.5,386,"2718 of 3140"
"Hays County",48209,3.5,2399,"2720 of 3140"
"Fisher County",48151,3.5,60,"2722 of 3140"
"Foard County",48155,3.6,20,"2725 of 3140"
"Kimble County",48267,3.6,70,"2727 of 3140"
"Hall County",48191,3.6,45,"2729 of 3140"
"Houston County",48225,3.7,304,"2734 of 3140"
"Grimes County",48185,3.7,329,"2737 of 3140"
"Denton County",48121,3.7,10160,"2742 of 3140"
"Guadalupe County",48187,3.8,1977,"2754 of 3140"
"Montgomery County",48339,3.8,7121,"2755 of 3140"
"Ellis County",48139,3.8,2103,"2759 of 3140"
"Camp County",48063,3.8,182,"2760 of 3140"
"Leon County",48289,3.9,243,"2765 of 3140"
"Refugio County",48391,3.9,105,"2766 of 3140"
"Jones County",48253,3.9,222,"2769 of 3140"
"Brazoria County",48039,4.0,4647,"2773 of 3140"
"Mitchell County",48335,4.0,105,"2774 of 3140"
"Lee County",48287,4.1,248,"2779 of 3140"
"Jack County",48237,4.1,126,"2780 of 3140"
"Sterling County",48431,4.1,19,"2781 of 3140"
"Nacogdoches County",48347,4.2,999,"2787 of 3140"
"Mills County",48333,4.3,78,"2797 of 3140"
"Colorado County",48089,4.3,329,"2808 of 3140"
"Medina County",48325,4.3,659,"2811 of 3140"
"Briscoe County",48045,4.4,29,"2812 of 3140"
"Knox County",48275,4.4,61,"2817 of 3140"
"Live Oak County",48297,4.4,159,"2818 of 3140"
"Wheeler County",48483,4.5,104,"2829 of 3140"
"Nueces County",48355,4.6,5952,"2836 of 3140"
"Lipscomb County",48295,4.7,60,"2839 of 3140"
"Jefferson County",48245,4.7,4434,"2843 of 3140"
"Young County",48503,4.9,345,"2857 of 3140"
"Wilson County",48493,5.0,786,"2866 of 3140"
"Collin County",48085,5.0,16303,"2869 of 3140"
"Floyd County",48153,5.0,117,"2870 of 3140"
"Cherokee County",48073,5.2,923,"2875 of 3140"
"Nolan County",48353,5.3,295,"2880 of 3140"
