------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Lipscomb County",48295,3.2,41,"629 of 3141"
"Hall County",48191,3.2,40,"628 of 3141"
"Stephens County",48429,3.3,111,"594 of 3141"
"Fort Bend County",48157,3.3,7349,"590 of 3141"
"Bell County",48027,3.3,3851,"589 of 3141"
"Guadalupe County",48187,3.3,1733,"582 of 3141"
"Young County",48503,3.3,236,"578 of 3141"
"San Jacinto County",48407,3.3,315,"572 of 3141"
"Cooke County",48097,3.4,512,"562 of 3141"
"Wise County",48497,3.4,740,"550 of 3141"
"Gregg County",48183,3.5,1592,"527 of 3141"
"Nacogdoches County",48347,3.5,835,"521 of 3141"
"Cass County",48067,3.5,415,"518 of 3141"
"Ellis County",48139,3.5,1923,"516 of 3141"
"Robertson County",48395,3.5,223,"507 of 3141"
"Harrison County",48203,3.5,828,"504 of 3141"
"Matagorda County",48321,3.6,493,"496 of 3141"
"Shelby County",48419,3.6,331,"493 of 3141"
"Upton County",48461,3.6,47,"492 of 3141"
"Dickens County",48125,3.6,30,"488 of 3141"
"Dallam County",48111,3.6,88,"486 of 3141"
"Goliad County",48175,3.6,100,"481 of 3141"
"Brazos County",48041,3.6,2814,"480 of 3141"
"Lamb County",48279,3.7,175,"475 of 3141"
"Grimes County",48185,3.7,331,"466 of 3141"
"Polk County",48373,3.7,651,"462 of 3141"
"Hartley County",48205,3.7,65,"457 of 3141"
"Knox County",48275,3.7,51,"456 of 3141"
"Briscoe County",48045,3.8,25,"436 of 3141"
"Llano County",48299,3.8,330,"428 of 3141"
"Hays County",48209,3.8,2591,"427 of 3141"
"Deaf Smith County",48117,3.9,237,"415 of 3141"
"Lee County",48287,3.9,237,"415 of 3141"
"Ward County",48475,3.9,154,"407 of 3141"
"Medina County",48325,3.9,594,"399 of 3141"
"Colorado County",48089,3.9,299,"393 of 3141"
"King County",48269,4.0,4,"390 of 3141"
"Blanco County",48031,4.0,168,"388 of 3141"
"Collingsworth County",48087,4.0,44,"382 of 3141"
"Refugio County",48391,4.0,108,"381 of 3141"
"Irion County",48235,4.0,26,"380 of 3141"
"Rains County",48379,4.0,174,"378 of 3141"
"Montgomery County",48339,4.0,7519,"374 of 3141"
"Pecos County",48371,4.0,178,"373 of 3141"
"Milam County",48331,4.0,382,"369 of 3141"
"Brazoria County",48039,4.1,4769,"364 of 3141"
"Hunt County",48231,4.1,1300,"358 of 3141"
"Bosque County",48035,4.1,290,"352 of 3141"
"Anderson County",48001,4.1,684,"351 of 3141"
"Oldham County",48359,4.1,24,"349 of 3141"
"Camp County",48063,4.1,196,"346 of 3141"
"Hansford County",48195,4.2,80,"342 of 3141"
"Falls County",48145,4.2,226,"337 of 3141"
"Scurry County",48415,4.2,246,"329 of 3141"
"Gillespie County",48171,4.3,460,"323 of 3141"
"Bexar County",48029,4.3,27082,"315 of 3141"
"Morris County",48343,4.4,222,"302 of 3141"
"Wharton County",48481,4.4,673,"301 of 3141"
"Comanche County",48093,4.4,226,"299 of 3141"
"Travis County",48453,4.4,19810,"298 of 3141"
"Hopkins County",48223,4.4,590,"297 of 3141"
"Shackelford County",48417,4.5,56,"292 of 3141"
"San Augustine County",48405,4.5,143,"288 of 3141"
"Liberty County",48291,4.5,1165,"281 of 3141"
"Hemphill County",48211,4.5,61,"279 of 3141"
"Swisher County",48437,4.5,117,"277 of 3141"
"Tyler County",48457,4.5,332,"275 of 3141"
"Tarrant County",48439,4.6,31439,"273 of 3141"
"Navarro County",48349,4.6,792,"269 of 3141"
"Crane County",48103,4.6,68,"264 of 3141"
"Hockley County",48219,4.7,378,"252 of 3141"
"Burleson County",48051,4.7,310,"247 of 3141"
"Stonewall County",48433,4.8,22,"242 of 3141"
"Wilson County",48493,4.8,760,"240 of 3141"
"Victoria County",48469,4.9,1599,"234 of 3141"
"Upshur County",48459,4.9,690,"232 of 3141"
"Hill County",48217,4.9,627,"231 of 3141"
"Reeves County",48389,5.0,185,"229 of 3141"
"Uvalde County",48463,5.0,429,"227 of 3141"
"Menard County",48327,5.0,48,"226 of 3141"
"Brooks County",48047,5.0,101,"224 of 3141"
"Angelina County",48005,5.0,1554,"222 of 3141"
"Nueces County",48355,5.0,6494,"219 of 3141"
"Terry County",48445,5.0,209,"216 of 3141"
"Jackson County",48239,5.2,270,"209 of 3141"
"Palo Pinto County",48363,5.2,544,"205 of 3141"
"Culberson County",48109,5.3,39,"194 of 3141"
"DeWitt County",48123,5.5,398,"188 of 3141"
"Bee County",48025,5.5,473,"186 of 3141"
"Wheeler County",48483,5.6,127,"184 of 3141"
"Jeff Davis County",48243,5.6,56,"182 of 3141"
"Austin County",48015,5.6,616,"180 of 3141"
"Schleicher County",48413,5.6,62,"179 of 3141"
"Caldwell County",48055,5.7,731,"174 of 3141"
"El Paso County",48141,5.7,14946,"173 of 3141"
"Castro County",48069,5.7,140,"172 of 3141"
"Harris County",48201,5.7,88886,"171 of 3141"
"Ector County",48135,5.7,2933,"170 of 3141"
